linear_acceleration,QTI,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
802487479,3,0.013799906,0.0099515915,-0.008096576
802487489,3,3.7768483E-4,-7.324219E-4,-0.0016350299
802487499,3,0.0010907724,-0.0033493042,-0.0024339259
802487509,3,0.0012655631,-0.0026016235,-0.0124926865
802487519,3,-4.5823306E-4,0.002981186,-0.006415218
802487529,3,0.0055543333,0.0065288544,-0.0019363165
802487539,3,-0.006027721,0.0018520355,-0.0059100688
802487549,3,0.0040850863,2.3841858E-5,-0.012718603
802487559,3,0.006166756,0.0015468597,0.0031197518
802487569,3,-0.0017581806,0.008304596,0.002950579
802487579,3,0.01229088,0.0029058456,-0.0026153177
802487589,3,0.004522249,-0.005168915,-0.007480666
802487599,3,0.007241085,0.00931263,-0.0029340088
802487609,3,0.004280746,-0.007314682,-0.0045171976
802487619,3,0.0065682977,0.006374359,-0.009048775
802487629,3,-8.351654E-4,-7.8964233E-4,-9.844452E-4
802487639,3,-0.005673088,-0.001745224,-0.009791717
802487649,3,0.0011329576,-0.0042057037,0.0037951916
802487659,3,0.0074662045,-0.0019207001,-1.2978911E-4
802487669,3,0.015230209,4.644394E-4,-0.008819774
802487679,3,-0.0032668933,-0.0035591125,-0.016286522
802487689,3,-0.0055943727,0.0070209503,-0.0056263655
802487699,3,0.008664601,0.0082883835,-6.632209E-4
802487709,3,0.0018756464,-5.683899E-4,0.008474931
802487719,3,0.014279366,-0.0065107346,-0.006227702
802487728,3,-0.00399556,-0.010279655,-0.007699892
802487738,3,-0.0035271645,-0.004432678,-0.0029788762
802487748,3,-2.1732599E-4,-0.0028362274,0.0010189265
802487758,3,-0.004255742,0.007730484,-0.011405677
802487768,3,-0.005375251,1.3160706E-4,0.0012940913
802487778,3,-0.002318032,6.837845E-4,-0.0053515285
802487788,3,0.0018377751,-0.007078171,0.0036623627
802487798,3,0.011336096,0.007712364,-0.01144354
802487808,3,-0.0074218437,-0.0029344559,0.0023267418
802487818,3,-0.0042400807,0.003066063,-0.010783792
802487828,3,0.006001301,-0.0029354095,-9.5802546E-4
802487838,3,-0.0038975626,-0.0071754456,-0.0069225132
802487848,3,0.0024287775,0.014948845,-0.009625539
802487858,3,2.3627281E-4,-0.0041208267,-8.1047416E-4
802487868,3,0.0024680346,0.0063295364,-0.012902722
802487878,3,-0.008633792,-0.0019416809,0.0018247515
802487888,3,0.008594513,9.965897E-4,0.0029758215
802487898,3,5.474314E-4,-0.0026168823,0.004884571
802487908,3,-0.007323824,-8.201599E-5,-0.008159682
802487918,3,-0.0017640665,0.002963066,-0.011760816
802487928,3,-0.008164369,-0.002064705,-0.0030112714
802487938,3,0.0011205748,0.006828308,-0.01084666
802487948,3,0.0076897144,0.008927345,-0.0063611865
802487958,3,9.243861E-4,0.006149292,0.0020545125
802487968,3,-0.0073676333,9.2697144E-4,-0.0022102892
802487978,3,0.002726011,-0.002272606,-2.9970706E-4
802487988,3,-0.0014937147,-0.003066063,0.006430909
802487998,3,0.006960444,0.0039052963,-0.0035133213
802488008,3,0.008676201,-0.0039100647,-0.010133058
802488018,3,-0.0075112283,0.008059502,-0.0025859922
802488028,3,0.007360555,-0.0063323975,-0.011932358
802488038,3,0.006226741,-0.0035934448,-0.009146199
802488048,3,0.0055820867,-2.117157E-4,-0.008884713
802488058,3,0.002616249,-3.4618378E-4,3.9631128E-4
802488068,3,0.0034574047,-0.0018615723,-0.009811744
