gyro_s003_002 QTI-Gyroscope Non-wakeup,TDK-Invensense,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel2_x[rad/s],ang_vel2_y[rad/s],ang_vel2_z[rad/s]
802487687,3,1741276961514995628,-4.048003E-4,-9.203857E-4,0.0011760527
802487697,3,1741276961524917347,-4.048003E-4,-9.203857E-4,1.107892E-4
802487707,3,1741276961534848232,6.6046324E-4,0.0012101413,0.0011760527
802487717,3,1741276961544788440,6.6046324E-4,1.4487782E-4,1.107892E-4
802487727,3,1741276961554739170,-4.048003E-4,1.4487782E-4,1.107892E-4
802487737,3,1741276961564699586,-4.048003E-4,1.4487782E-4,1.107892E-4
802487747,3,1741276961574669638,-4.048003E-4,-9.203857E-4,1.107892E-4
802487757,3,1741276961584652607,6.6046324E-4,-9.203857E-4,0.0011760527
802487767,3,1741276961594648180,6.6046324E-4,1.4487782E-4,0.0011760527
802487777,3,1741276961604654899,-0.0014700638,1.4487782E-4,0.0011760527
802487787,3,1741276961614678232,-4.048003E-4,1.4487782E-4,0.0011760527
802487797,3,1741276961624713753,6.6046324E-4,0.0012101413,0.0011760527
802487807,3,1741276961634761409,-4.048003E-4,1.4487782E-4,0.0011760527
802487817,3,1741276961644820055,-4.048003E-4,1.4487782E-4,0.0011760527
802487827,3,1741276961654887815,6.6046324E-4,1.4487782E-4,0.0011760527
802487837,3,1741276961664963649,6.6046324E-4,1.4487782E-4,0.0011760527
802487847,3,1741276961675047086,-4.048003E-4,0.0012101413,0.0011760527
802487857,3,1741276961685138232,-4.048003E-4,0.0012101413,1.107892E-4
802487868,3,1741276961695236982,-0.0014700638,1.4487782E-4,-9.544743E-4
802487878,3,1741276961705343232,-4.048003E-4,0.0012101413,0.0011760527
802487888,3,1741276961715464170,6.6046324E-4,0.0012101413,1.107892E-4
802487898,3,1741276961725591774,6.6046324E-4,0.0012101413,1.107892E-4
802487908,3,1741276961735725420,-0.0014700638,0.0012101413,0.0011760527
802487918,3,1741276961745865836,-4.048003E-4,1.4487782E-4,0.0011760527
802487928,3,1741276961756012347,-0.0014700638,1.4487782E-4,1.107892E-4
802487938,3,1741276961766163336,-0.0014700638,1.4487782E-4,0.0011760527
802487949,3,1741276961776318180,-4.048003E-4,1.4487782E-4,1.107892E-4
802487959,3,1741276961786476930,-4.048003E-4,1.4487782E-4,1.107892E-4
802487969,3,1741276961796641253,6.6046324E-4,1.4487782E-4,0.0011760527
802487979,3,1741276961806809847,-0.0014700638,1.4487782E-4,1.107892E-4
802487989,3,1741276961816987659,-4.048003E-4,1.4487782E-4,1.107892E-4
802487999,3,1741276961827168857,6.6046324E-4,1.4487782E-4,0.0011760527
802488010,3,1741276961837351565,-4.048003E-4,1.4487782E-4,0.0011760527
802488019,3,1741276961847218128,-4.048003E-4,1.4487782E-4,-9.544743E-4
802488029,3,1741276961857085940,6.6046324E-4,-9.203857E-4,1.107892E-4
802488039,3,1741276961866955420,-4.048003E-4,-9.203857E-4,1.107892E-4
802488049,3,1741276961876826461,-4.048003E-4,1.4487782E-4,1.107892E-4
