acc_s003_002 QTI-Accelerometer-Uncalibrated Non-wakeup,TDK-Invensense,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc2_uncal_x[m/s^2],acc2_uncal_y[m/s^2],acc2_uncal_z[m/s^2]
802486724,3,1741276960551394430,-0.1040389,-9.779052,3.479123E-4
802486734,3,1741276960561594430,-0.11361571,-9.779052,0.0051363185
802486744,3,1741276960571794430,-0.1040389,-9.78384,0.009924725
802486754,3,1741276960581994430,-0.11840411,-9.779052,0.009924725
802486764,3,1741276960592194430,-0.11361571,-9.78384,3.479123E-4
802486775,3,1741276960602394430,-0.11361571,-9.793417,3.479123E-4
802486785,3,1741276960612594430,-0.10882731,-9.798205,0.014713123
802486795,3,1741276960622794430,-0.11361571,-9.793417,0.01950153
802486805,3,1741276960632994430,-0.0992505,-9.78384,-0.018805698
802486815,3,1741276960643194430,-0.11361571,-9.793417,-0.009228885
802486826,3,1741276960653394430,-0.11361571,-9.798205,3.479123E-4
802486836,3,1741276960663594430,-0.1040389,-9.798205,-0.0044404864
802486846,3,1741276960673794430,-0.1040389,-9.788629,0.0051363185
802486856,3,1741276960683994430,-0.11361571,-9.779052,0.0051363185
802486866,3,1741276960694194430,-0.11840411,-9.793417,3.479123E-4
802486877,3,1741276960704394430,-0.0944621,-9.788629,0.014713123
802486887,3,1741276960714594430,-0.1040389,-9.78384,-0.014017299
802486897,3,1741276960724794430,-0.1040389,-9.774263,0.009924725
802486907,3,1741276960734994430,-0.1040389,-9.779052,3.479123E-4
802486917,3,1741276960745194430,-0.10882731,-9.779052,-0.0044404864
802486928,3,1741276960755394430,-0.0992505,-9.779052,0.0051363185
802486938,3,1741276960765594430,-0.0992505,-9.779052,3.479123E-4
802486948,3,1741276960775794430,-0.1040389,-9.78384,-0.014017299
802486958,3,1741276960785994430,-0.10882731,-9.788629,0.0051363185
802486968,3,1741276960796194430,-0.1040389,-9.793417,-0.014017299
802486979,3,1741276960806394430,-0.10882731,-9.78384,-0.009228885
802486988,3,1741276960816199847,-0.1040389,-9.798205,-0.009228885
802486993,3,1741276960820908545,-0.10882731,-9.793417,-0.014017299
802487003,3,1741276960830739170,-0.1040389,-9.774263,-0.009228885
802487013,3,1741276960840595315,-0.10882731,-9.788629,-0.014017299
