acc_s001_004 Accelerometer-Uncalibrated Non-wakeup,STMicro,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2]
802486005,3,1741276959832536774,0.10737792,-9.7654085,0.15343975,0.0,0.0,0.0
802486015,3,1741276959842521305,0.109471634,-9.756136,0.16091733,0.0,0.0,0.0
802486025,3,1741276959852505576,0.106480606,-9.762417,0.14925231,0.0,0.0,0.0
802486035,3,1741276959862490107,0.109471634,-9.766604,0.1477568,0.0,0.0,0.0
802486045,3,1741276959872474378,0.0951147,-9.761819,0.15583257,0.0,0.0,0.0
802486055,3,1741276959882459222,0.10468599,-9.7681,0.14626129,0.0,0.0,0.0
802486065,3,1741276959892443753,0.101694964,-9.766306,0.14536397,0.0,0.0,0.0
802486075,3,1741276959902427711,0.10139586,-9.755538,0.14416756,0.0,0.0,0.0
802486085,3,1741276959912411670,0.109471634,-9.760324,0.15672988,0.0,0.0,0.0
802486095,3,1741276959922395628,0.101694964,-9.764511,0.1576272,0.0,0.0,0.0
802486105,3,1741276959932579117,0.1052842,-9.754341,0.16600206,0.0,0.0,0.0
802486115,3,1741276959942762295,0.0948156,-9.762118,0.14386846,0.0,0.0,0.0
802486125,3,1741276959952945472,0.11066805,-9.762417,0.16061822,0.0,0.0,0.0
802486135,3,1741276959963128649,0.09720842,-9.757631,0.15074782,0.0,0.0,0.0
802486146,3,1741276959973311826,0.101694964,-9.766904,0.15104693,0.0,0.0,0.0
802486156,3,1741276959983495003,0.10438689,-9.766306,0.16031912,0.0,0.0,0.0
802486166,3,1741276959993678180,0.10917253,-9.761221,0.15433706,0.0,0.0,0.0
802486176,3,1741276960003861357,0.11515459,-9.7609215,0.1468595,0.0,0.0,0.0
802486186,3,1741276960013939065,0.102592275,-9.763913,0.14895321,0.0,0.0,0.0
802486196,3,1741276960023945211,0.11395818,-9.762716,0.16660027,0.0,0.0,0.0
802486206,3,1741276960033988336,0.10827523,-9.760024,0.15254244,0.0,0.0,0.0
802486216,3,1741276960043972711,0.11306087,-9.766904,0.15254244,0.0,0.0,0.0
802486226,3,1741276960053957555,0.12173485,-9.767801,0.15044872,0.0,0.0,0.0
802486236,3,1741276960063942399,0.12502499,-9.762716,0.148355,0.0,0.0,0.0
802486246,3,1741276960073926774,0.10289137,-9.751051,0.1594218,0.0,0.0,0.0
802486256,3,1741276960083911201,0.09750752,-9.759426,0.1591227,0.0,0.0,0.0
802486266,3,1741276960093895576,0.10767702,-9.753445,0.14955142,0.0,0.0,0.0
802486276,3,1741276960103797242,0.11006984,-9.768699,0.17437695,0.0,0.0,0.0
802486286,3,1741276960113792607,0.10857433,-9.76152,0.14566308,0.0,0.0,0.0
802486296,3,1741276960123975784,0.09720842,-9.757931,0.14985052,0.0,0.0,0.0
802486306,3,1741276960134158961,0.097806625,-9.763614,0.17018951,0.0,0.0,0.0
802486317,3,1741276960144342138,0.10887343,-9.759726,0.15702899,0.0,0.0,0.0
802486327,3,1741276960154525315,0.11545369,-9.773783,0.1582254,0.0,0.0,0.0
802486337,3,1741276960164708492,0.09990034,-9.775578,0.15134603,0.0,0.0,0.0
802486347,3,1741276960174881930,0.098703936,-9.77139,0.1576272,0.0,0.0,0.0
802486357,3,1741276960184930888,0.096909314,-9.769596,0.16151553,0.0,0.0,0.0
802486367,3,1741276960194915420,0.10229317,-9.761221,0.15672988,0.0,0.0,0.0
802486377,3,1741276960204900263,0.110368945,-9.777073,0.1582254,0.0,0.0,0.0
802486387,3,1741276960214884534,0.10109676,-9.762417,0.16091733,0.0,0.0,0.0
802486397,3,1741276960224950628,0.09750752,-9.766904,0.15523437,0.0,0.0,0.0
802486407,3,1741276960235133805,0.10827523,-9.760623,0.1480559,0.0,0.0,0.0
802486418,3,1741276960245316982,0.110368945,-9.766306,0.15194423,0.0,0.0,0.0
802486428,3,1741276960255395159,0.10109676,-9.764811,0.16002001,0.0,0.0,0.0
802486438,3,1741276960265394586,0.117547415,-9.754043,0.15104693,0.0,0.0,0.0
802486448,3,1741276960275378805,0.10468599,-9.765707,0.15104693,0.0,0.0,0.0
802486458,3,1741276960285362763,0.116351,-9.767502,0.17168503,0.0,0.0,0.0
802486468,3,1741276960295229013,0.1160519,-9.759426,0.16540386,0.0,0.0,0.0
802486478,3,1741276960305279951,0.111266255,-9.763913,0.16271193,0.0,0.0,0.0
802486488,3,1741276960315316253,0.10827523,-9.766904,0.16031912,0.0,0.0,0.0
802486498,3,1741276960325394065,0.10229317,-9.74836,0.14087744,0.0,0.0,0.0
802486508,3,1741276960335577242,0.11096715,-9.769297,0.1594218,0.0,0.0,0.0
