gravity  Non-wakeup,QTI,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
802488098,3,0.105937704,-9.804966,0.14767626
802488108,3,0.10594292,-9.804966,0.14763363
802488118,3,0.105980314,-9.804968,0.14756362
802488128,3,0.10606157,-9.804972,0.1472335
802488138,3,0.10590813,-9.804974,0.1472217
802488148,3,0.10572343,-9.804978,0.1470746
802488158,3,0.10567615,-9.804976,0.14713548
802488168,3,0.105453715,-9.804982,0.14699945
802488178,3,0.1054139,-9.804982,0.14696172
802488188,3,0.10524633,-9.804985,0.14690913
802488198,3,0.1054113,-9.804983,0.1468649
802488208,3,0.10557178,-9.804984,0.14672394
802488218,3,0.105683826,-9.804985,0.14658257
802488228,3,0.10593099,-9.804987,0.14629611
802488238,3,0.10598054,-9.804987,0.14620817
802488248,3,0.106021106,-9.804989,0.14604297
802488258,3,0.10603404,-9.804992,0.14588112
802488268,3,0.106062345,-9.804993,0.14575237
802488278,3,0.10619885,-9.804994,0.14560479
802488288,3,0.10619231,-9.804995,0.14556675
802488298,3,0.106066376,-9.804996,0.1455433
802488308,3,0.10606244,-9.804998,0.14537655
802488318,3,0.10617674,-9.804999,0.1452672
802488328,3,0.10623699,-9.804998,0.14531532
802488338,3,0.10619133,-9.804999,0.14522937
802488348,3,0.10629366,-9.805003,0.14496513
802488358,3,0.10636932,-9.805003,0.14480402
802488368,3,0.106173076,-9.805009,0.14468
802488377,3,0.1060754,-9.80501,0.14463931
802488387,3,0.10599857,-9.805011,0.14466137
802488397,3,0.10570199,-9.8050165,0.1444287
802488407,3,0.10565797,-9.805017,0.1444457
802488417,3,0.10556228,-9.805022,0.14416684
802488427,3,0.105479576,-9.805027,0.1439547
802488437,3,0.10562341,-9.805026,0.14384033
802488447,3,0.105530046,-9.805031,0.14364538
802488457,3,0.10552045,-9.805036,0.14326881
802488467,3,0.105544254,-9.805038,0.14313792
802488477,3,0.10548985,-9.8050375,0.14309205
802488487,3,0.105383225,-9.805043,0.14285141
802488497,3,0.10549713,-9.805043,0.1428318
802488507,3,0.10559632,-9.805042,0.14280991
802488517,3,0.10561908,-9.805044,0.14260872
802488527,3,0.10583232,-9.805043,0.1425322
802488537,3,0.10600305,-9.805042,0.14248268
802488547,3,0.105985865,-9.805046,0.14226262
802488557,3,0.105761,-9.805049,0.14223285
802488567,3,0.10566049,-9.805049,0.14222299
802488577,3,0.10561346,-9.805054,0.14200306
802488587,3,0.1056429,-9.805054,0.14186925
802488597,3,0.1056103,-9.805057,0.14171217
802488607,3,0.10543618,-9.805062,0.14152834
802488617,3,0.10565953,-9.805062,0.14141887
802488627,3,0.10565571,-9.805063,0.14127359
802488637,3,0.10562401,-9.805063,0.14130555
802488647,3,0.105475605,-9.805065,0.14131245
802488657,3,0.10559381,-9.805065,0.14115383
802488667,3,0.10550549,-9.805067,0.14104748
802488677,3,0.105378926,-9.80507,0.14098834
802488687,3,0.105499715,-9.805072,0.14078929
802488697,3,0.10543782,-9.805077,0.14054902
802488707,3,0.10523493,-9.805081,0.14036602
802488717,3,0.10534013,-9.805079,0.14039531
802488727,3,0.10531858,-9.805083,0.14011836
802488737,3,0.105141275,-9.805086,0.14000572
802488747,3,0.10521192,-9.80509,0.139764
802488757,3,0.105089545,-9.805092,0.13971154
802488767,3,0.10508968,-9.805092,0.13972497
802488777,3,0.10522903,-9.805092,0.13962781
802488787,3,0.1051897,-9.805093,0.13951251
802488797,3,0.104880065,-9.8050995,0.13931076
802488807,3,0.104777314,-9.805103,0.13914086
802488817,3,0.104720704,-9.805108,0.13887487
802488827,3,0.104770504,-9.805112,0.13851804
802488837,3,0.10473493,-9.805114,0.13833702
802488847,3,0.104952864,-9.805114,0.13825336
802488857,3,0.10494754,-9.805113,0.1382547
802488867,3,0.105053306,-9.805116,0.13802755
802488877,3,0.1051217,-9.805114,0.1380817
802488887,3,0.10498384,-9.805119,0.13788246
802488897,3,0.10488941,-9.805122,0.13769728
802488907,3,0.10485699,-9.805124,0.13759062
802488917,3,0.10485529,-9.805128,0.1373002
802488927,3,0.10487477,-9.805133,0.13694614
802488937,3,0.104810014,-9.805134,0.13691932
802488947,3,0.1048707,-9.805135,0.1368343
802488957,3,0.10466185,-9.805138,0.13673198
802488967,3,0.10479743,-9.805138,0.136684
802488977,3,0.10502733,-9.805137,0.13659734
802488987,3,0.10501139,-9.805136,0.13669272
802488997,3,0.10491905,-9.805137,0.13661638
802489007,3,0.10485882,-9.805138,0.13659722
802489016,3,0.10473365,-9.80514,0.13656943
802489026,3,0.10467463,-9.805144,0.13628304
802489036,3,0.10466884,-9.805149,0.13596374
802489046,3,0.104514174,-9.805149,0.13603824
802489056,3,0.104654364,-9.805148,0.13601027
802489066,3,0.10469364,-9.805148,0.1359802
802489077,3,0.104766764,-9.805149,0.1358982
802489087,3,0.10468914,-9.805152,0.1357254
802489097,3,0.104648195,-9.805154,0.13560699
802489107,3,0.104645476,-9.805157,0.13541433
802489117,3,0.10472692,-9.805156,0.13541016
802489127,3,0.104392394,-9.805161,0.13525793
802489137,3,0.10443711,-9.805162,0.13517998
802489147,3,0.10442933,-9.805164,0.1349937
802489157,3,0.10446925,-9.805167,0.134823
802489167,3,0.10446588,-9.805166,0.13480152
802489177,3,0.10449328,-9.805164,0.13494445
802489187,3,0.104408674,-9.805169,0.13472281
802489197,3,0.10439993,-9.805169,0.1347159
802489207,3,0.10453734,-9.805172,0.13436235
802489217,3,0.104579665,-9.805171,0.13437825
802489227,3,0.10451362,-9.805174,0.13423827
802489237,3,0.10454929,-9.805176,0.13410862
802489247,3,0.10456416,-9.805176,0.13405505
802489257,3,0.10433339,-9.805181,0.13393374
802489267,3,0.10431422,-9.805182,0.13385668
802489277,3,0.10444318,-9.8051815,0.13377365
802489287,3,0.104438476,-9.805182,0.13366167
802489297,3,0.104506284,-9.805187,0.13330401
802489307,3,0.1045549,-9.80519,0.13306437
802489317,3,0.10446825,-9.805192,0.13295192
802489327,3,0.10435286,-9.805194,0.13291733
802489337,3,0.10431135,-9.805195,0.13287942
802489347,3,0.10404453,-9.8052,0.13277487
802489357,3,0.10429931,-9.8052,0.13261174
802489367,3,0.10440668,-9.805201,0.13240987
802489377,3,0.10465388,-9.805199,0.13231322
802489387,3,0.104540445,-9.805205,0.13196969
802489396,3,0.10468471,-9.805207,0.13172895
802489406,3,0.104727134,-9.805208,0.13156103
802489416,3,0.10483613,-9.805209,0.13149598
802489426,3,0.10487918,-9.805209,0.13133022
802489436,3,0.104803205,-9.805213,0.13117737
802489446,3,0.104791544,-9.805216,0.13091956
802489456,3,0.10465578,-9.805217,0.13090928
802489466,3,0.10481454,-9.80522,0.1306497
802489476,3,0.104783386,-9.805222,0.1305117
802489486,3,0.10480902,-9.805223,0.13030137
802489496,3,0.10492775,-9.805225,0.13011175
802489506,3,0.104997635,-9.805224,0.13013633
802489516,3,0.104912944,-9.805225,0.1301132
802489526,3,0.10491452,-9.805227,0.13003686
802489536,3,0.1049205,-9.805226,0.13003366
802489546,3,0.10493365,-9.805229,0.12988378
802489556,3,0.10477452,-9.805232,0.12970218
802489566,3,0.104608856,-9.805235,0.12965941
802489576,3,0.10460166,-9.805234,0.12974204
802489586,3,0.104499176,-9.805238,0.12955867
802489596,3,0.104289606,-9.805241,0.12954257
802489606,3,0.104345605,-9.805238,0.12958726
802489616,3,0.1045648,-9.805238,0.12948488
802489626,3,0.10451304,-9.805243,0.12923157
802489636,3,0.104520254,-9.805246,0.1289358
802489646,3,0.10459885,-9.805248,0.12864001
802489656,3,0.104647346,-9.80525,0.12840989
802489666,3,0.10456913,-9.805254,0.12825042
802489676,3,0.10468426,-9.805255,0.12811875
802489686,3,0.10474805,-9.805253,0.12822531
802489696,3,0.10492611,-9.805252,0.12810656
802489706,3,0.10499255,-9.80525,0.12820807
802489716,3,0.10487295,-9.805253,0.12801014
802489726,3,0.10469902,-9.805257,0.12792915
802489736,3,0.10470041,-9.805258,0.12790091
802489746,3,0.10466591,-9.80526,0.1277455
802489756,3,0.10463803,-9.805259,0.1278038
802489766,3,0.104605906,-9.805262,0.12768684
802489776,3,0.104543716,-9.805263,0.12766767
802489786,3,0.104673155,-9.80526,0.12771003
802489796,3,0.10465647,-9.80526,0.12774414
802489806,3,0.10470399,-9.80526,0.12777291
802489816,3,0.10473452,-9.805257,0.12791042
802489826,3,0.10459304,-9.805262,0.12767231
802489836,3,0.10445952,-9.805263,0.12767039
802489846,3,0.104281805,-9.805267,0.12747946
802489856,3,0.10412814,-9.805268,0.12756266
802489866,3,0.10420087,-9.805271,0.12727872
802489876,3,0.10404819,-9.805275,0.12707917
802489886,3,0.10401882,-9.805277,0.12696558
802489896,3,0.104031704,-9.805278,0.12683761
802489906,3,0.103846215,-9.805279,0.12685116
802489916,3,0.10390194,-9.805281,0.12663676
802489926,3,0.10398832,-9.805282,0.12664865
802489936,3,0.10406375,-9.805282,0.12655705
802489946,3,0.10403622,-9.805284,0.12637559
802489956,3,0.10412936,-9.805285,0.1262274
802489966,3,0.10399678,-9.805287,0.12618363
802489976,3,0.104000054,-9.805289,0.12605686
802489986,3,0.10409754,-9.805288,0.12600894
802489996,3,0.104116164,-9.805287,0.12608828
802490006,3,0.10420694,-9.805285,0.12612842
802490017,3,0.10435011,-9.8052845,0.12609483
802490027,3,0.10424536,-9.805286,0.1260046
802490037,3,0.1044842,-9.805282,0.12618671
802490047,3,0.104491524,-9.805283,0.12612252
802490057,3,0.10467288,-9.805283,0.12597239
802490067,3,0.10464683,-9.805283,0.1258751
802490077,3,0.104670025,-9.805285,0.12579077
802490087,3,0.104549535,-9.805286,0.12579973
802490097,3,0.10438054,-9.80529,0.12565215
802490107,3,0.1044426,-9.805287,0.12580365
802490117,3,0.10447139,-9.805286,0.12581721
802490127,3,0.104546055,-9.805285,0.12586817
802490137,3,0.10446863,-9.805289,0.12565328
802490147,3,0.10447703,-9.805291,0.12547354
802490157,3,0.1045156,-9.805291,0.12544228
802490167,3,0.1045715,-9.80529,0.12544794
802490177,3,0.10453247,-9.805291,0.12539627
802490187,3,0.10473367,-9.805289,0.1253745
802490197,3,0.1047775,-9.805289,0.12531242
802490207,3,0.10462457,-9.805293,0.125229
802490217,3,0.10471289,-9.805291,0.12525135
802490228,3,0.10461619,-9.805291,0.1252724
802490238,3,0.10442656,-9.805297,0.12507117
802490248,3,0.10449554,-9.805295,0.12518358
802490258,3,0.10450317,-9.805294,0.12522681
802490268,3,0.10440375,-9.805296,0.1251744
802490277,3,0.10428692,-9.805298,0.1251205
802490287,3,0.104399286,-9.805297,0.12504795
802490297,3,0.10424536,-9.805298,0.12508777
802490307,3,0.10415085,-9.8053,0.12508751
802490317,3,0.1042582,-9.8053,0.124977976
802490327,3,0.10409549,-9.805301,0.12501994
802490337,3,0.104033366,-9.805301,0.1250905
802490347,3,0.10407894,-9.805301,0.12501034
802490357,3,0.10418174,-9.805299,0.12511176
802490367,3,0.10426159,-9.8053,0.12499346
802490377,3,0.104167864,-9.805302,0.12478658
802490387,3,0.10435417,-9.805303,0.12468976
802490397,3,0.10442737,-9.805304,0.12457045
802490407,3,0.104547285,-9.805302,0.12455507
802490417,3,0.10469591,-9.8053,0.12467434
802490427,3,0.10474426,-9.805299,0.12468327
802490437,3,0.10508006,-9.805295,0.12464909
802490447,3,0.1051302,-9.805298,0.1243557
802490457,3,0.10506149,-9.8053,0.124285415
802490467,3,0.105119586,-9.805299,0.124329925
802490477,3,0.10501073,-9.805299,0.12439936
802490487,3,0.104994595,-9.8053,0.12434577
802490497,3,0.10493296,-9.805301,0.12434157
802490507,3,0.105199695,-9.805298,0.12432549
802490517,3,0.10529132,-9.805296,0.12438566
802490527,3,0.10536488,-9.805293,0.12449172
802490537,3,0.10526823,-9.805299,0.12415502
802490547,3,0.1052897,-9.805302,0.123990685
802490557,3,0.10525616,-9.805303,0.12392251
802490567,3,0.10513198,-9.805304,0.12394176
802490577,3,0.10521028,-9.805303,0.123870134
802490587,3,0.105084375,-9.805303,0.124020614
802490597,3,0.10509774,-9.805299,0.12431048
802490607,3,0.105056085,-9.805302,0.124176346
802490617,3,0.105019726,-9.805302,0.12420784
802490627,3,0.105144456,-9.805298,0.12440264
802490637,3,0.10517494,-9.805296,0.124509774
802490647,3,0.105212756,-9.805293,0.12469612
802490657,3,0.10526576,-9.805294,0.12456245
802490667,3,0.105478264,-9.805293,0.12443982
802490677,3,0.1056387,-9.805293,0.12433504
802490687,3,0.10574924,-9.805293,0.12418611
802490697,3,0.105879866,-9.805292,0.124257326
802490707,3,0.10571655,-9.805296,0.12406218
802490717,3,0.10565136,-9.805297,0.12397
802490727,3,0.105722025,-9.805296,0.123990044
802490737,3,0.10567867,-9.805297,0.123932034
802490747,3,0.105801605,-9.805297,0.123938836
802490757,3,0.105681285,-9.805297,0.123978466
802490767,3,0.1057587,-9.805296,0.12399163
802490777,3,0.10575951,-9.805297,0.123988196
802490787,3,0.10574546,-9.805294,0.12414119
802490797,3,0.10578046,-9.805293,0.12415978
802490807,3,0.105739504,-9.805293,0.124198906
802490817,3,0.10570604,-9.805294,0.12419802
802490827,3,0.10580607,-9.805291,0.124339275
802490837,3,0.105890356,-9.805289,0.12438124
802490847,3,0.105946235,-9.805289,0.12439454
802490857,3,0.1058776,-9.805288,0.12448001
802490867,3,0.10600099,-9.805286,0.12456182
802490877,3,0.10606267,-9.805286,0.12452357
802490887,3,0.10595298,-9.805287,0.12450297
802490897,3,0.105944976,-9.805289,0.12440424
802490907,3,0.10594465,-9.805288,0.1244958
802490917,3,0.105900675,-9.805288,0.12444798
802490927,3,0.10577982,-9.80529,0.12445043
802490937,3,0.10601722,-9.805286,0.124442525
802490948,3,0.10585268,-9.805288,0.12455245
802490958,3,0.1057869,-9.805287,0.12470861
802490968,3,0.10554681,-9.805288,0.12484534
802490978,3,0.105652295,-9.805286,0.1248276
802490987,3,0.10554084,-9.805285,0.12504604
802490997,3,0.105685525,-9.805283,0.1251371
802491008,3,0.10561631,-9.8052845,0.12507293
802491018,3,0.10563767,-9.805282,0.12524636
802491028,3,0.10557937,-9.805279,0.12547721
802491038,3,0.10577798,-9.805278,0.12537251
802491048,3,0.105953306,-9.805275,0.12556127
802491058,3,0.10607469,-9.805272,0.1255891
802491068,3,0.10618557,-9.805272,0.12555236
802491078,3,0.10629226,-9.805268,0.12568247
802491088,3,0.10652325,-9.805264,0.12582566
802491098,3,0.106532164,-9.805263,0.12596898
802491108,3,0.10646903,-9.805261,0.12613046
802491118,3,0.10641309,-9.805262,0.12611336
802491128,3,0.106359206,-9.805259,0.12644058
802491138,3,0.10627877,-9.805256,0.12664011
802491148,3,0.106144376,-9.805257,0.12673055
802491158,3,0.106227584,-9.805254,0.12684798
802491168,3,0.106307596,-9.805252,0.12692264
802491178,3,0.10640873,-9.805249,0.12699778
802491188,3,0.106391795,-9.805251,0.12700167
802491198,3,0.10625077,-9.805251,0.12707841
802491208,3,0.10631809,-9.805248,0.12719263
802491218,3,0.10638695,-9.805244,0.12743983
802491228,3,0.10626453,-9.805246,0.12745708
802491238,3,0.10631532,-9.805245,0.1274866
802491248,3,0.106393404,-9.805244,0.1274927
802491258,3,0.10656044,-9.80524,0.12763128
802491269,3,0.10638304,-9.805242,0.12763393
802491279,3,0.10632372,-9.805242,0.12775353
802491289,3,0.10622848,-9.80524,0.1280552
802491299,3,0.10598674,-9.805242,0.12798402
802491309,3,0.10621125,-9.80524,0.12804085
802491319,3,0.10611638,-9.805239,0.12821083
802491329,3,0.10600723,-9.805238,0.1282454
802491339,3,0.106097735,-9.805236,0.12840168
802491349,3,0.10615432,-9.805235,0.12843204
802491359,3,0.10617196,-9.80523,0.1286736
802491369,3,0.106138244,-9.805233,0.12860289
802491379,3,0.10620843,-9.80523,0.12866029
802491389,3,0.106143415,-9.805229,0.12883748
802491399,3,0.106202,-9.805227,0.12890193
802491409,3,0.10628382,-9.805226,0.12895197
802491419,3,0.10626424,-9.805225,0.12903269
802491429,3,0.10617401,-9.805225,0.12909916
802491439,3,0.10624048,-9.805224,0.1291653
802491450,3,0.10614713,-9.8052225,0.12941855
802491460,3,0.106183164,-9.805219,0.1295977
802491470,3,0.106212795,-9.805219,0.12954785
802491480,3,0.10630722,-9.805215,0.12976348
802491490,3,0.10619961,-9.805215,0.12989445
802491500,3,0.106222406,-9.805214,0.1299481
802491510,3,0.106126234,-9.805212,0.13011499
802491520,3,0.106364064,-9.805209,0.13024278
802491530,3,0.106320545,-9.805208,0.13033827
802491540,3,0.10655641,-9.805202,0.13057223
