timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
1181,802486598,0.0048869182,-0.0025961753,0.0013744457,0.102592275,-9.7654085,0.16331014,3.75,9.125,151.725,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1191,802486608,0.0042760535,-0.0015271619,0.0010690134,0.10857433,-9.767801,0.1480559,3.7250001,9.1375,151.7625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1201,802486618,0.005497783,-0.0024434591,0.0016798781,0.10677971,-9.769596,0.15224335,3.7375,9.175,151.8,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1211,802486628,0.0044287695,-0.0016798781,0.0016798781,0.10109676,-9.762118,0.15672988,3.7375,9.2,151.8125,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1221,802486638,0.0044287695,-0.0029016077,0.0015271619,0.10767702,-9.756136,0.15882361,3.7625,9.212501,151.85,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1231,802486648,0.0050396346,-0.0025961753,0.0012217296,0.115752794,-9.767502,0.15553348,3.7875001,9.2375,151.8625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1241,802486658,0.0050396346,-0.002290743,0.0016798781,0.09840483,-9.751948,0.15314065,3.8125,9.225,151.90001,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1251,802486668,0.004734202,-0.0016798781,0.0018325944,0.11156536,-9.775279,0.16570297,3.825,9.212501,151.95,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1261,802486678,0.005345067,-0.0016798781,0.0010690134,0.117547415,-9.764511,0.17078772,3.8125,9.1875,151.96251,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1271,802486688,0.0051923506,-0.0013744457,0.0018325944,0.104985096,-9.762417,0.1576272,3.8,9.150001,151.9375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1281,802486698,0.0051923506,-0.0016798781,9.162972E-4,0.104985096,-9.765109,0.1582254,3.775,9.125,151.8625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1291,802486708,0.005497783,-0.0018325944,7.6358096E-4,0.09421739,-9.75823,0.15583257,3.775,9.1,151.8,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1301,802486718,0.0059559317,-0.0019853106,0.0024434591,0.104087785,-9.765109,0.15254244,3.7375,9.075,151.75,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1312,802486729,0.0056504994,-0.0015271619,0.0021380268,0.10797612,-9.765109,0.16151553,3.6625001,9.0625,151.725,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1322,802486739,0.004734202,-0.0016798781,0.0015271619,0.09720842,-9.759726,0.14925231,3.625,9.075,151.7625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1332,802486749,0.005497783,-0.0021380268,0.0010690134,0.1052842,-9.759128,0.16420746,3.6000001,9.1,151.7875,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1342,802486759,0.0051923506,-0.0021380268,0.0013744457,0.10857433,-9.759426,0.1486541,3.6000001,9.1375,151.83751,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1352,802486769,0.004581486,-0.0016798781,0.0016798781,0.112761766,-9.753743,0.16360925,3.6000001,9.150001,151.9125,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1363,802486780,0.0051923506,-0.0016798781,0.0021380268,0.11395818,-9.764811,0.16181463,3.6000001,9.1625,151.975,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1373,802486790,0.005345067,-0.0027488915,0.0016798781,0.10378868,-9.7681,0.15134603,3.625,9.1875,151.975,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1383,802486800,0.0044287695,-0.0018325944,0.0018325944,0.10229317,-9.769596,0.17288144,3.65,9.2,151.975,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1393,802486810,0.004734202,-0.0024434591,0.0019853106,0.10707881,-9.7704935,0.15343975,3.6875,9.1875,151.95,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1403,802486820,0.005345067,-0.0015271619,0.0013744457,0.10977074,-9.758529,0.15194423,3.7375,9.1875,151.875,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1413,802486830,0.004734202,-0.0027488915,0.0010690134,0.10827523,-9.764511,0.16241284,3.775,9.175,151.825,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1423,802486840,0.004734202,-0.002290743,0.0019853106,0.11425728,-9.767801,0.15044872,3.825,9.1625,151.7625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1433,802486850,0.004581486,-0.0024434591,0.0013744457,0.11455639,-9.760024,0.16002001,3.8625,9.1625,151.7375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1443,802486860,0.0058032153,-0.0021380268,0.0016798781,0.10917253,-9.748658,0.15403795,3.8875,9.1625,151.725,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1453,802486870,0.0044287695,-0.0024434591,0.0012217296,0.10049855,-9.764511,0.1477568,3.9,9.175,151.7375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1463,802486880,0.004734202,-0.0018325944,0.0012217296,0.110368945,-9.7681,0.16331014,3.9625,9.1875,151.75,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1473,802486890,0.0048869182,-0.0021380268,0.0029016077,0.11006984,-9.763614,0.14626129,3.9750001,9.175,151.8,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1483,802486900,0.0050396346,-0.0019853106,0.0018325944,0.11425728,-9.757333,0.16241284,3.9750001,9.175,151.875,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
