gyro_s001_004 Gyroscope-Uncalibrated Non-wakeup,STMicro,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s]
800981830,3,1741275455658526669,0.0050396346,-0.0027488915,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800981840,3,1741275455668512086,0.0051923506,-0.0016798781,0.002290743,0.0041796416,-0.0010617414,0.002740393
800981850,3,1741275455678495263,0.005345067,-0.0013744457,0.0024434591,0.0041796416,-0.0010617414,0.002740393
800981860,3,1741275455688479221,0.0051923506,-0.0016798781,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800981870,3,1741275455698463075,0.004581486,-0.0021380268,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800981880,3,1741275455708446252,0.004734202,-0.0016798781,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800981890,3,1741275455718430107,0.0048869182,-0.0010690134,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800981900,3,1741275455728413284,0.004581486,-0.0012217296,0.0027488915,0.0041796416,-0.0010617414,0.002740393
800981910,3,1741275455738397242,0.004581486,-0.0019853106,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800981920,3,1741275455748381096,0.003970621,-0.0024434591,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800981930,3,1741275455758364273,0.004123337,-0.0013744457,0.0015271619,0.0041796416,-0.0010617414,0.002740393
800981940,3,1741275455768348127,0.0048869182,-0.0013744457,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800981950,3,1741275455778331096,0.004734202,-0.0018325944,0.0015271619,0.0041796416,-0.0010617414,0.002740393
800981960,3,1741275455788313284,0.004581486,-9.162972E-4,0.002290743,0.0041796416,-0.0010617414,0.002740393
800981970,3,1741275455798142450,0.004581486,-0.0021380268,0.002290743,0.0041796416,-0.0010617414,0.002740393
800981980,3,1741275455808288700,0.0042760535,-0.0018325944,0.002290743,0.0041796416,-0.0010617414,0.002740393
800981990,3,1741275455818270888,0.0051923506,-0.0010690134,0.0012217296,0.0041796416,-0.0010617414,0.002740393
800982000,3,1741275455828428857,0.0050396346,-0.0012217296,0.0012217296,0.0041796416,-0.0010617414,0.002740393
800982010,3,1741275455838610419,0.0050396346,-0.002290743,0.002290743,0.0041796416,-0.0010617414,0.002740393
800982021,3,1741275455848765836,0.0050396346,-0.0019853106,0.0027488915,0.0041796416,-0.0010617414,0.002740393
800982031,3,1741275455858787711,0.004123337,-0.0024434591,0.0010690134,0.0041796416,-0.0010617414,0.002740393
800982041,3,1741275455868771513,0.0056504994,-0.002290743,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800982051,3,1741275455878754742,0.0050396346,-0.0018325944,0.0015271619,0.0041796416,-0.0010617414,0.002740393
800982061,3,1741275455888738544,0.0048869182,-7.6358096E-4,0.0012217296,0.0041796416,-0.0010617414,0.002740393
800982071,3,1741275455898721773,0.004123337,-0.0015271619,0.0013744457,0.0041796416,-0.0010617414,0.002740393
800982081,3,1741275455908705419,0.004734202,-0.0015271619,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800982091,3,1741275455918687607,0.0044287695,-0.0015271619,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800982101,3,1741275455928673075,0.0050396346,-6.108648E-4,0.0012217296,0.0041796416,-0.0010617414,0.002740393
800982111,3,1741275455938656304,0.004581486,-0.0016798781,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800982121,3,1741275455948640107,0.004123337,-0.0019853106,0.0025961753,0.0041796416,-0.0010617414,0.002740393
800982131,3,1741275455958623336,0.004734202,-0.0019853106,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800982140,3,1741275455968606982,0.0050396346,-0.0016798781,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800982150,3,1741275455978577398,0.0050396346,-9.162972E-4,0.0012217296,0.0041796416,-0.0010617414,0.002740393
800982160,3,1741275455988430054,0.004581486,-0.0016798781,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800982171,3,1741275455998611461,0.0035124724,-0.0015271619,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800982181,3,1741275456008745992,0.0044287695,-0.0010690134,0.0025961753,0.0041796416,-0.0010617414,0.002740393
800982191,3,1741275456018728179,0.0050396346,-0.0018325944,0.0010690134,0.0041796416,-0.0010617414,0.002740393
800982201,3,1741275456028886148,0.0051923506,-0.002290743,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800982211,3,1741275456039034846,0.0044287695,-7.6358096E-4,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800982221,3,1741275456049063492,0.0042760535,-0.0013744457,7.6358096E-4,0.0041796416,-0.0010617414,0.002740393
800982231,3,1741275456059047242,0.004581486,-0.002290743,0.0013744457,0.0041796416,-0.0010617414,0.002740393
800982241,3,1741275456069030523,0.0042760535,-0.0016798781,0.0027488915,0.0041796416,-0.0010617414,0.002740393
800982251,3,1741275456079014273,0.005497783,-0.002290743,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800982261,3,1741275456088997554,0.0036651888,-0.0019853106,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800982271,3,1741275456098981513,0.0050396346,-0.0012217296,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800982281,3,1741275456108965054,0.004581486,-0.002290743,0.0013744457,0.0041796416,-0.0010617414,0.002740393
800982291,3,1741275456118947242,0.005497783,-0.0010690134,0.002290743,0.0041796416,-0.0010617414,0.002740393
800982301,3,1741275456128932502,0.0048869182,-0.0021380268,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800982311,3,1741275456138915784,0.004581486,-0.0024434591,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800982321,3,1741275456148899534,0.0048869182,-9.162972E-4,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800982331,3,1741275456158882815,0.004581486,-0.0013744457,0.0013744457,0.0041796416,-0.0010617414,0.002740393
800982341,3,1741275456168866357,0.0048869182,-0.0010690134,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800982351,3,1741275456178813232,0.0051923506,-0.0018325944,0.0025961753,0.0041796416,-0.0010617414,0.002740393
800982361,3,1741275456188687711,0.0036651888,-0.0018325944,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800982371,3,1741275456198863700,0.005345067,-0.0013744457,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800982381,3,1741275456208986513,0.004734202,-0.0016798781,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800982391,3,1741275456218968700,0.0044287695,-0.0012217296,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800982401,3,1741275456228915419,0.0050396346,-0.0019853106,0.0013744457,0.0041796416,-0.0010617414,0.002740393
800982411,3,1741275456239096825,0.004734202,-0.0019853106,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800982421,3,1741275456249278544,0.0048869182,-0.0013744457,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800982431,3,1741275456259460836,0.0050396346,-0.0016798781,0.002290743,0.0041796416,-0.0010617414,0.002740393
800982442,3,1741275456269643127,0.003970621,-0.0024434591,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800982452,3,1741275456279792607,0.0048869182,-0.0030543238,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800982462,3,1741275456289844429,0.0050396346,-0.0018325944,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800982472,3,1741275456299827815,0.0044287695,-0.0025961753,0.0013744457,0.0041796416,-0.0010617414,0.002740393
800982482,3,1741275456309811773,0.0050396346,-0.0025961753,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800982492,3,1741275456319795107,0.0050396346,-0.0015271619,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800982502,3,1741275456329753752,0.0042760535,-4.581486E-4,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800982512,3,1741275456339677190,0.004123337,-0.0010690134,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800982522,3,1741275456349858596,0.004734202,-0.0013744457,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800982532,3,1741275456360040523,0.004123337,-0.0010690134,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800982542,3,1741275456370105107,0.0050396346,-0.0021380268,0.0015271619,0.0041796416,-0.0010617414,0.002740393
800982552,3,1741275456380192763,0.005345067,-0.0010690134,0.0012217296,0.0041796416,-0.0010617414,0.002740393
800982562,3,1741275456390256982,0.004123337,-0.0018325944,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800982572,3,1741275456400344638,0.004581486,-0.0010690134,0.0024434591,0.0041796416,-0.0010617414,0.002740393
800982582,3,1741275456410408857,0.0050396346,-0.0016798781,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800982592,3,1741275456420426200,0.0048869182,-0.0013744457,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800982602,3,1741275456430607607,0.0051923506,-0.0016798781,0.002290743,0.0041796416,-0.0010617414,0.002740393
800982613,3,1741275456440789534,0.004734202,-0.0018325944,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800982623,3,1741275456450971825,0.0044287695,-0.0016798781,0.0013744457,0.0041796416,-0.0010617414,0.002740393
800982633,3,1741275456461154117,0.0042760535,-0.0015271619,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800982643,3,1741275456471218700,0.0050396346,-0.0010690134,0.0029016077,0.0041796416,-0.0010617414,0.002740393
800982653,3,1741275456481294638,0.004123337,-0.0012217296,0.0012217296,0.0041796416,-0.0010617414,0.002740393
800982663,3,1741275456491476044,0.0044287695,-0.0016798781,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800982674,3,1741275456501657971,0.0048869182,-0.0025961753,0.0024434591,0.0041796416,-0.0010617414,0.002740393
800982684,3,1741275456511722554,0.0044287695,-9.162972E-4,0.0025961753,0.0041796416,-0.0010617414,0.002740393
800982694,3,1741275456521716461,0.004123337,-0.0012217296,0.0024434591,0.0041796416,-0.0010617414,0.002740393
800982704,3,1741275456531792659,0.0050396346,-0.0018325944,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800982714,3,1741275456541783752,0.0044287695,-0.0018325944,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800982724,3,1741275456551767346,0.004734202,-0.002290743,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800982734,3,1741275456561750263,0.0051923506,-0.0018325944,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800982744,3,1741275456571626513,0.0051923506,-9.162972E-4,0.002290743,0.0041796416,-0.0010617414,0.002740393
800982754,3,1741275456581643596,0.004581486,-0.0021380268,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800982764,3,1741275456591696096,0.004734202,-0.0018325944,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800982774,3,1741275456601795471,0.0044287695,-0.0010690134,0.0015271619,0.0041796416,-0.0010617414,0.002740393
800982784,3,1741275456611847971,0.004123337,-0.0016798781,0.002290743,0.0041796416,-0.0010617414,0.002740393
800982794,3,1741275456621888752,0.004581486,-0.0019853106,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800982804,3,1741275456632070159,0.003817905,-0.0010690134,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800982814,3,1741275456642177659,0.0048869182,-0.0027488915,0.002290743,0.0041796416,-0.0010617414,0.002740393
800982824,3,1741275456652190419,0.0048869182,-0.0012217296,0.0027488915,0.0041796416,-0.0010617414,0.002740393
800982834,3,1741275456662174065,0.0042760535,-0.0015271619,0.0012217296,0.0041796416,-0.0010617414,0.002740393
800982844,3,1741275456672158023,0.004581486,-0.0021380268,0.0015271619,0.0041796416,-0.0010617414,0.002740393
