gyro_s001_004 Gyroscope Non-wakeup,STMicro,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
800981769,3,1741275455597457711,9.162972E-4,-1.527162E-4,-9.162972E-4
800981780,3,1741275455607639117,0.0013744457,-4.581486E-4,-4.581486E-4
800981790,3,1741275455617820627,6.108648E-4,-4.581486E-4,-0.0012217296
800981800,3,1741275455628002919,7.6358096E-4,-7.6358096E-4,-1.527162E-4
800981810,3,1741275455638185211,6.108648E-4,-6.108648E-4,-6.108648E-4
800981820,3,1741275455648367502,1.527162E-4,-6.108648E-4,-0.0010690134
800981830,3,1741275455658526669,9.162972E-4,-0.0018325944,-9.162972E-4
800981840,3,1741275455668512086,9.162972E-4,-6.108648E-4,-4.581486E-4
800981850,3,1741275455678495263,0.0012217296,-3.054324E-4,-3.054324E-4
800981860,3,1741275455688479221,0.0010690134,-6.108648E-4,-0.0010690134
800981870,3,1741275455698463075,4.581486E-4,-0.0010690134,-6.108648E-4
800981880,3,1741275455708446252,4.581486E-4,-6.108648E-4,-0.0010690134
800981890,3,1741275455718430107,6.108648E-4,-0.0,-6.108648E-4
800981900,3,1741275455728413284,4.581486E-4,-1.527162E-4,0.0
800981910,3,1741275455738397242,3.054324E-4,-9.162972E-4,-9.162972E-4
800981920,3,1741275455748381096,-3.054324E-4,-0.0013744457,-0.0010690134
800981930,3,1741275455758364273,-0.0,-3.054324E-4,-0.0012217296
800981940,3,1741275455768348127,7.6358096E-4,-3.054324E-4,-9.162972E-4
800981950,3,1741275455778331096,6.108648E-4,-7.6358096E-4,-0.0012217296
800981960,3,1741275455788313284,4.581486E-4,1.527162E-4,-4.581486E-4
800981970,3,1741275455798142450,3.054324E-4,-0.0010690134,-4.581486E-4
800981980,3,1741275455808288700,1.527162E-4,-7.6358096E-4,-4.581486E-4
800981990,3,1741275455818270888,9.162972E-4,0.0,-0.0015271619
800982000,3,1741275455828428857,7.6358096E-4,-1.527162E-4,-0.0015271619
800982010,3,1741275455838610419,9.162972E-4,-0.0012217296,-4.581486E-4
800982021,3,1741275455848765836,7.6358096E-4,-9.162972E-4,-0.0
800982031,3,1741275455858787711,-1.527162E-4,-0.0013744457,-0.0016798781
800982041,3,1741275455868771513,0.0013744457,-0.0012217296,-9.162972E-4
800982051,3,1741275455878754742,9.162972E-4,-7.6358096E-4,-0.0012217296
800982061,3,1741275455888738544,6.108648E-4,3.054324E-4,-0.0015271619
800982071,3,1741275455898721773,-0.0,-4.581486E-4,-0.0013744457
800982081,3,1741275455908705419,4.581486E-4,-4.581486E-4,-9.162972E-4
800982091,3,1741275455918687607,3.054324E-4,-4.581486E-4,-7.6358096E-4
800982101,3,1741275455928673075,7.6358096E-4,4.581486E-4,-0.0015271619
800982111,3,1741275455938656304,4.581486E-4,-6.108648E-4,-6.108648E-4
800982121,3,1741275455948640107,-1.527162E-4,-9.162972E-4,-1.527162E-4
800982131,3,1741275455958623336,6.108648E-4,-9.162972E-4,-9.162972E-4
800982140,3,1741275455968606982,9.162972E-4,-6.108648E-4,-7.6358096E-4
