Game Rotation Vector  Non-wakeup,QTI,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better), w, x, y, z
800982552,3,-0.4906667,-0.49692017,0.50305784,0.50916547
800982562,3,-0.49066636,-0.496923,0.5030549,0.5091657
800982572,3,-0.49066755,-0.49691907,0.5030588,0.50916463
800982582,3,-0.49066302,-0.49692377,0.50305414,0.509169
800982592,3,-0.49065858,-0.49692187,0.5030559,0.50917333
800982602,3,-0.49066088,-0.49692506,0.5030529,0.50917107
800982613,3,-0.49066243,-0.49692944,0.5030486,0.5091695
800982623,3,-0.4906598,-0.49693245,0.5030458,0.509172
800982633,3,-0.49066034,-0.49693766,0.5030406,0.5091714
800982643,3,-0.4906746,-0.49693272,0.5030456,0.5091576
800982653,3,-0.49067414,-0.4969391,0.50303936,0.5091579
800982663,3,-0.49067178,-0.49694115,0.5030373,0.5091602
800982674,3,-0.49067485,-0.49693763,0.5030408,0.50915724
800982684,3,-0.49067807,-0.49693978,0.5030388,0.5091541
800982694,3,-0.49068365,-0.49694377,0.5030349,0.5091486
800982704,3,-0.490677,-0.4969468,0.50303185,0.50915504
800982714,3,-0.4906688,-0.4969506,0.50302804,0.509163
800982724,3,-0.49066707,-0.496954,0.5030247,0.50916463
800982734,3,-0.49067143,-0.4969477,0.5030309,0.50916046
800982744,3,-0.49067083,-0.49695468,0.5030242,0.509161
800982754,3,-0.49067464,-0.4969519,0.50302696,0.5091573
800982764,3,-0.4906738,-0.496949,0.5030298,0.50915813
800982774,3,-0.49067074,-0.49695176,0.5030271,0.5091611
800982784,3,-0.49066916,-0.4969585,0.5030203,0.50916255
800982794,3,-0.4906751,-0.4969641,0.503015,0.5091567
800982804,3,-0.49067935,-0.4969651,0.5030141,0.50915253
800982814,3,-0.49067593,-0.4969611,0.503018,0.5091559
800982824,3,-0.4906791,-0.4969537,0.50302523,0.50915295
800982834,3,-0.49067888,-0.4969611,0.5030181,0.509153
800982844,3,-0.49067423,-0.49695906,0.50301987,0.5091576
800982854,3,-0.49067402,-0.49695754,0.5030216,0.50915784
800982864,3,-0.49067515,-0.49695554,0.50302345,0.50915676
800982874,3,-0.4906782,-0.49695447,0.50302446,0.5091538
800982884,3,-0.49067128,-0.49695942,0.50301945,0.50916046
800982894,3,-0.49067235,-0.49696305,0.5030162,0.5091594
800982904,3,-0.49067026,-0.49696293,0.503016,0.5091614
800982914,3,-0.49068472,-0.49697036,0.5030091,0.5091472
800982924,3,-0.49069738,-0.49697337,0.5030062,0.5091348
800982934,3,-0.49070248,-0.49697477,0.5030048,0.5091298
800982944,3,-0.49070853,-0.49697402,0.50300586,0.509124
800982954,3,-0.49070337,-0.4969754,0.50300443,0.5091289
800982964,3,-0.49069983,-0.49698186,0.50299793,0.5091323
800982974,3,-0.49069962,-0.49698278,0.5029972,0.5091325
800982984,3,-0.4907012,-0.49698576,0.5029942,0.50913095
800982994,3,-0.49070102,-0.49698377,0.50299615,0.50913113
800983004,3,-0.49069613,-0.49698433,0.50299555,0.5091359
800983014,3,-0.49069348,-0.49699125,0.5029888,0.5091384
800983024,3,-0.49069098,-0.49699724,0.502983,0.5091408
800983034,3,-0.49068877,-0.49699843,0.5029817,0.50914294
800983044,3,-0.49069113,-0.49699968,0.5029805,0.5091406
800983054,3,-0.49069008,-0.49699688,0.5029832,0.5091416
800983064,3,-0.4906879,-0.49699742,0.5029827,0.50914377
800983074,3,-0.49069142,-0.49700502,0.50297534,0.50914025
800983084,3,-0.4906924,-0.49700904,0.50297135,0.50913924
800983094,3,-0.49069384,-0.49701014,0.5029703,0.5091378
800983104,3,-0.4906953,-0.4970094,0.5029711,0.50913644
800983114,3,-0.49069813,-0.49701154,0.502969,0.50913364
800983124,3,-0.49070188,-0.4970208,0.50295997,0.5091298
800983134,3,-0.49070305,-0.49702644,0.5029546,0.50912863
800983144,3,-0.49070218,-0.4970275,0.50295347,0.50912946
800983154,3,-0.4906969,-0.4970254,0.5029555,0.50913465
800983164,3,-0.49069995,-0.49703085,0.5029502,0.5091316
800983174,3,-0.49070024,-0.49702558,0.5029554,0.5091314
800983185,3,-0.49070525,-0.4970272,0.50295377,0.5091265
800983195,3,-0.49070695,-0.49702495,0.5029561,0.5091249
800983205,3,-0.49070573,-0.49701905,0.5029618,0.5091261
800983215,3,-0.49070185,-0.49701983,0.502961,0.5091299
800983225,3,-0.4907,-0.4970274,0.5029536,0.5091316
800983235,3,-0.49070364,-0.49702373,0.5029571,0.5091281
800983245,3,-0.49070802,-0.49702674,0.50295436,0.50912374
800983255,3,-0.49071443,-0.49702737,0.50295377,0.5091175
800983265,3,-0.49072462,-0.49703133,0.50295,0.50910753
800983275,3,-0.4907267,-0.4970373,0.50294423,0.50910544
800983285,3,-0.49073014,-0.4970371,0.50294447,0.50910205
800983295,3,-0.49072745,-0.4970405,0.50294113,0.50910467
800983305,3,-0.49072805,-0.4970411,0.50294054,0.5091041
800983315,3,-0.49072593,-0.49704322,0.50293857,0.5091061
800983325,3,-0.4907242,-0.49704978,0.5029321,0.5091077
800983335,3,-0.4907305,-0.49705103,0.50293094,0.50910157
