baro_s002_001 Pressure Sensor Non-wakeup,Goertek,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),pressure[millibar]
800994247,3,977.2117
800994278,3,977.21545
800994309,3,977.2191
800994340,3,977.2491
800994372,3,977.233
800994403,3,977.2346
800994434,3,977.25385
800994465,3,977.25275
800994497,3,977.2341
800994528,3,977.2384
800994559,3,977.2341
800994590,3,977.24475
800994622,3,977.19415
800994653,3,977.18823
800994684,3,977.17444
800994715,3,977.1617
800994747,3,977.1776
800994778,3,977.1888
800994809,3,977.2213
800994840,3,977.20483
800994872,3,977.20483
800994903,3,977.2112
800994934,3,977.2544
800994965,3,977.2837
800994997,3,977.2784
800995028,3,977.25073
800995059,3,977.28
800995090,3,977.2997
800995122,3,977.2715
800995153,3,977.23517
800995184,3,977.2639
800995215,3,977.27673
800995247,3,977.25494
800995278,3,977.27405
800995309,3,977.3205
800995340,3,977.3344
800995372,3,977.2943
800995403,3,977.2949
800995434,3,977.29706
800995465,3,977.2357
800995497,3,977.22614
800995528,3,977.1995
800995559,3,977.2335
800995590,3,977.21277
800995622,3,977.1899
800995653,3,977.16205
800995684,3,977.1668
800995715,3,977.2218
800995747,3,977.19244
800995778,3,977.1668
800995809,3,977.1572
800995840,3,977.1855
800995872,3,977.1647
800995903,3,977.1561
800995934,3,977.1892
800995965,3,977.193
800995997,3,977.2181
800996028,3,977.19977
800996059,3,977.23663
800996090,3,977.2963
800996122,3,977.2564
800996153,3,977.3012
800996184,3,977.3507
800996215,3,977.3086
800996247,3,977.23987
800996278,3,977.2772
800996309,3,977.2899
800996340,3,977.2244
800996372,3,977.1861
800996403,3,977.1866
800996434,3,977.2105
800996466,3,977.2121
800996497,3,977.2643
800996528,3,977.2948
800996559,3,977.2553
800996590,3,977.22925
800996622,3,977.33105
800996653,3,977.3454
800996684,3,977.32
800996715,3,977.28906
800996747,3,977.3408
800996778,3,977.38776
800996809,3,977.3557
800996840,3,977.2736
800996872,3,977.1984
800996903,3,977.1771
800996934,3,977.1521
800996965,3,977.1015
800996997,3,977.0608
800997028,3,977.054
800997059,3,977.20435
800997090,3,977.23944
800997122,3,977.3189
800997153,3,977.43726
800997184,3,977.4361
800997215,3,977.59296
800997247,3,977.62384
800997278,3,977.49805
800997309,3,977.54016
800997340,3,977.5738
800997372,3,977.4506
800997403,3,977.49805
800997434,3,977.49915
800997465,3,977.5604
800997497,3,977.48627
800997528,3,977.38983
800997559,3,977.3189
800997590,3,977.2832
800997622,3,977.263
800997653,3,977.1766
800997684,3,977.18567
800997715,3,977.1696
800997747,3,977.1947
800997778,3,977.2161
800997809,3,977.2006
800997840,3,977.111
800997872,3,977.1058
800997903,3,977.18884
800997934,3,977.08386
800997965,3,977.0608
800997997,3,977.09454
800998028,3,977.06995
800998059,3,977.0231
800998090,3,977.0806
800998122,3,976.9986
800998153,3,976.98517
800998184,3,976.9868
800998215,3,976.9751
800998247,3,976.9868
800998278,3,976.9857
800998309,3,976.93243
800998340,3,976.9847
800998372,3,976.9857
800998403,3,976.92596
800998434,3,976.9288
