acc_s003_002 QTI-Accelerometer Non-wakeup,TDK-Invensense,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc2_x[m/s^2],acc2_y[m/s^2],acc2_z[m/s^2]
800982495,3,1741275456323275471,-0.0992505,-9.793417,0.096115984
800982505,3,1741275456333475471,-0.0944621,-9.798205,0.115269594
800982516,3,1741275456343675471,-0.0992505,-9.793417,0.08653918
800982526,3,1741275456353875471,-0.1040389,-9.793417,0.08653918
800982536,3,1741275456364075471,-0.0992505,-9.788629,0.08653918
800982546,3,1741275456374275471,-0.0944621,-9.788629,0.07696237
800982556,3,1741275456384475471,-0.0944621,-9.788629,0.096115984
800982567,3,1741275456394675471,-0.08967369,-9.78384,0.096115984
800982577,3,1741275456404875471,-0.1040389,-9.78384,0.09132758
800982587,3,1741275456415075471,-0.1040389,-9.788629,0.10090439
800982597,3,1741275456424880888,-0.1040389,-9.788629,0.096115984
800982607,3,1741275456434686304,-0.0944621,-9.793417,0.08653918
800982616,3,1741275456444491721,-0.08967369,-9.798205,0.10090439
800982626,3,1741275456454297138,-0.0992505,-9.798205,0.110481195
800982636,3,1741275456464103388,-0.1040389,-9.788629,0.10569279
800982646,3,1741275456473910315,-0.0944621,-9.793417,0.08653918
800982656,3,1741275456483719117,-0.08967369,-9.78384,0.08175077
800982665,3,1741275456493530211,-0.1040389,-9.78384,0.096115984
800982675,3,1741275456503343961,-0.0992505,-9.793417,0.096115984
800982685,3,1741275456513169690,-0.1040389,-9.788629,0.096115984
800982695,3,1741275456522998232,-0.1040389,-9.78384,0.08175077
800982705,3,1741275456532830992,-0.1040389,-9.788629,0.08175077
800982715,3,1741275456542667607,-0.0992505,-9.788629,0.09132758
800982724,3,1741275456552510107,-0.0944621,-9.793417,0.10090439
800982734,3,1741275456562360054,-0.08967369,-9.788629,0.08175077
800982744,3,1741275456572218075,-0.0944621,-9.78384,0.10090439
800982754,3,1741275456582084221,-0.0992505,-9.78384,0.10090439
800982764,3,1741275456591959898,-0.0944621,-9.793417,0.08653918
800982774,3,1741275456601844534,-0.0992505,-9.788629,0.10569279
800982784,3,1741275456611737607,-0.1040389,-9.78384,0.09132758
800982794,3,1741275456621638544,-0.1040389,-9.793417,0.06738556
800982803,3,1741275456631547971,-0.0944621,-9.793417,0.07217397
800982813,3,1741275456641466304,-0.1040389,-9.798205,0.08653918
800982823,3,1741275456651393596,-0.0992505,-9.788629,0.08653918
800982833,3,1741275456661330211,-0.0944621,-9.793417,0.096115984
800982843,3,1741275456671276617,-0.0944621,-9.788629,0.07696237
800982853,3,1741275456681232919,-0.0944621,-9.793417,0.07217397
800982863,3,1741275456691199169,-0.1040389,-9.788629,0.09132758
800982873,3,1741275456701175159,-0.0992505,-9.788629,0.10090439
800982883,3,1741275456711162815,-0.10882731,-9.78384,0.09132758
800982893,3,1741275456721159325,-0.0944621,-9.788629,0.09132758
800982903,3,1741275456731165679,-0.0992505,-9.788629,0.10569279
800982913,3,1741275456741181409,-0.0944621,-9.798205,0.08653918
800982923,3,1741275456751209169,-0.0944621,-9.78384,0.08175077
800982933,3,1741275456761249117,-0.08967369,-9.788629,0.08175077
800982943,3,1741275456771300784,-0.1040389,-9.788629,0.09132758
800982953,3,1741275456781363857,-0.0944621,-9.78384,0.10090439
800982963,3,1741275456791439690,-0.10882731,-9.788629,0.09132758
800982973,3,1741275456801526200,-0.10882731,-9.793417,0.08175077
800982984,3,1741275456811622815,-0.0944621,-9.774263,0.07696237
800982994,3,1741275456821727502,-0.0944621,-9.788629,0.08653918
800983004,3,1741275456831840002,-0.1040389,-9.788629,0.09132758
800983014,3,1741275456841959794,-0.10882731,-9.779052,0.07217397
800983024,3,1741275456852086096,-0.1040389,-9.78384,0.08175077
800983034,3,1741275456862220888,-0.0944621,-9.788629,0.08653918
800983044,3,1741275456872363440,-0.08488529,-9.793417,0.10569279
800983054,3,1741275456882510732,-0.0944621,-9.78384,0.08653918
800983065,3,1741275456892664065,-0.0992505,-9.798205,0.08175077
800983075,3,1741275456902822971,-0.1040389,-9.788629,0.07217397
800983085,3,1741275456912991200,-0.11361571,-9.793417,0.07696237
