acc_s001_004 Accelerometer Non-wakeup,STMicro,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2]
800982914,3,1741275456742152867,0.10797612,-9.759726,0.21684955
800982924,3,1741275456752136825,0.11365908,-9.759128,0.23001008
800982934,3,1741275456762119638,0.10797612,-9.769895,0.2335993
800982944,3,1741275456771995888,0.124426775,-9.77498,0.23868406
800982954,3,1741275456782036461,0.12622139,-9.747761,0.2324029
800982964,3,1741275456792077242,0.116351,-9.758828,0.232702
800982974,3,1741275456802188336,0.12472588,-9.769297,0.23120649
800982984,3,1741275456812369742,0.11335997,-9.768997,0.23808585
800982994,3,1741275456822551148,0.11724831,-9.764811,0.24077778
800983004,3,1741275456832592554,0.12771691,-9.762716,0.23419751
800983014,3,1741275456842576252,0.1265205,-9.762118,0.2318047
800983024,3,1741275456852560211,0.11545369,-9.762716,0.23509483
800983034,3,1741275456862543544,0.11724831,-9.760324,0.2330011
800983044,3,1741275456872527242,0.11246266,-9.772287,0.23569304
800983054,3,1741275456882510575,0.12053844,-9.7704935,0.23958136
800983064,3,1741275456892494273,0.12562318,-9.7681,0.22582264
800983074,3,1741275456902478232,0.11964113,-9.767203,0.22731815
800983084,3,1741275456912461565,0.118145615,-9.766006,0.23449662
800983094,3,1741275456922445263,0.11335997,-9.759426,0.23539393
800983104,3,1741275456932428596,0.12023934,-9.773484,0.23060828
800983114,3,1741275456942411044,0.12472588,-9.775877,0.21984059
800983124,3,1741275456952395315,0.12203395,-9.753743,0.22971097
800983134,3,1741275456962378544,0.11874382,-9.761819,0.2335993
800983144,3,1741275456972254794,0.12562318,-9.764811,0.2434697
800983154,3,1741275456982318961,0.12083755,-9.75494,0.22881366
800983164,3,1741275456992500367,0.10977074,-9.756734,0.23928227
800983175,3,1741275457002682502,0.11156536,-9.757931,0.22851457
800983185,3,1741275457012864794,0.11365908,-9.755837,0.23509483
800983195,3,1741275457023047086,0.117547415,-9.762716,0.24077778
800983205,3,1741275457033229377,0.11934203,-9.769895,0.23599213
800983215,3,1741275457043391982,0.12951152,-9.762716,0.23120649
800983225,3,1741275457053406721,0.11066805,-9.763016,0.232702
800983235,3,1741275457063389950,0.11425728,-9.767801,0.22701904
800983245,3,1741275457073373752,0.111864455,-9.764511,0.22701904
800983255,3,1741275457083357711,0.11306087,-9.763614,0.21984059
800983265,3,1741275457093340940,0.12352947,-9.763913,0.22313072
800983275,3,1741275457103324742,0.115752794,-9.776176,0.23120649
800983285,3,1741275457113308700,0.12233306,-9.777372,0.23599213
800983295,3,1741275457123291929,0.11964113,-9.767203,0.23479572
800983305,3,1741275457133275732,0.11874382,-9.771989,0.2335993
800983315,3,1741275457143258961,0.12981063,-9.7609215,0.22881366
800983325,3,1741275457153241304,0.11246266,-9.762417,0.23001008
800983335,3,1741275457163223492,0.1265205,-9.764212,0.2324029
800983345,3,1741275457173358336,0.122931264,-9.764212,0.22821546
800983355,3,1741275457183539742,0.111266255,-9.765707,0.2222334
800983365,3,1741275457193521929,0.11216356,-9.770194,0.23330021
800983376,3,1741275457203668179,0.10887343,-9.771091,0.22432712
800983386,3,1741275457213849586,0.11934203,-9.761819,0.23659034
800983396,3,1741275457224031877,0.123828575,-9.757033,0.22552353
800983406,3,1741275457234214169,0.12323037,-9.760024,0.23001008
800983416,3,1741275457244396461,0.119042926,-9.777672,0.22552353
800983426,3,1741275457254578752,0.12502499,-9.759128,0.22791636
800983437,3,1741275457264761044,0.11545369,-9.763016,0.2228316
800983447,3,1741275457274807867,0.11246266,-9.753743,0.23150559
800983457,3,1741275457284791825,0.1274178,-9.763614,0.21625134
800983467,3,1741275457294774898,0.10917253,-9.766006,0.21864417
800983477,3,1741275457304758857,0.11694921,-9.764811,0.22881366
800983487,3,1741275457314742815,0.11335997,-9.773484,0.2324029
800983497,3,1741275457324725888,0.12173485,-9.770194,0.22612174
800983507,3,1741275457334709846,0.109471634,-9.766904,0.2228316
800983517,3,1741275457344692034,0.10887343,-9.767203,0.2318047
800983527,3,1741275457354674221,0.11365908,-9.763314,0.22313072
800983536,3,1741275457364491721,0.110368945,-9.759726,0.22851457
800983547,3,1741275457374673232,0.12622139,-9.771989,0.21924238
800983557,3,1741275457384854742,0.11545369,-9.777672,0.22612174
800983567,3,1741275457395037034,0.112761766,-9.769596,0.22701904
800983577,3,1741275457405195784,0.115752794,-9.765707,0.21924238
800983587,3,1741275457415189690,0.110368945,-9.771091,0.21954148
800983597,3,1741275457425371096,0.10109676,-9.77468,0.2105684
800983607,3,1741275457435529065,0.13310076,-9.756435,0.212363
800983617,3,1741275457445511252,0.11934203,-9.765707,0.23030917
800983628,3,1741275457455661148,0.12143575,-9.766604,0.22342981
800983638,3,1741275457465670888,0.13190435,-9.77797,0.22941187
800983648,3,1741275457475654846,0.11395818,-9.772287,0.2117648
800983658,3,1741275457485638700,0.11724831,-9.7681,0.2213361
800983668,3,1741275457495621877,0.12203395,-9.763913,0.2216352
800983677,3,1741275457505605732,0.11485548,-9.765707,0.2111666
800983687,3,1741275457515588700,0.12023934,-9.763913,0.23001008
800983697,3,1741275457525570888,0.12592229,-9.761819,0.21804596
800983707,3,1741275457535553075,0.11006984,-9.760324,0.22552353
800983718,3,1741275457545653284,0.12323037,-9.768399,0.2213361
800983728,3,1741275457555835211,0.12562318,-9.762417,0.22492532
