Rotation Vector  Non-wakeup,QTI,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
800985090,3,-0.49788922,-0.4908569,0.49560732,0.51530504,-1.0
800985100,3,-0.49788722,-0.49086842,0.49561122,0.51529217,-1.0
800985110,3,-0.4978902,-0.49086756,0.49561524,0.5152862,-1.0
800985120,3,-0.49789175,-0.49086794,0.4956178,0.515282,-1.0
800985130,3,-0.4978914,-0.49086717,0.4956168,0.515284,-1.0
800985140,3,-0.49788627,-0.4908774,0.4956151,0.51528084,-1.0
800985150,3,-0.49789447,-0.49086535,0.4956204,0.5152793,-1.0
800985160,3,-0.49788928,-0.49087042,0.49561554,0.5152841,-1.0
800985170,3,-0.49788618,-0.49087664,0.49561453,0.51528215,-1.0
800985180,3,-0.49788865,-0.4908776,0.49561888,0.51527464,-1.0
800985190,3,-0.49788764,-0.4908802,0.49561885,0.5152732,-1.0
800985200,3,-0.49788523,-0.49088824,0.49561998,0.51526684,-1.0
800985210,3,-0.49788424,-0.49088806,0.49561837,0.51526946,-1.0
800985220,3,-0.49788412,-0.49089277,0.49562103,0.51526254,-1.0
800985230,3,-0.49788767,-0.49089116,0.4956255,0.51525635,-1.0
800985240,3,-0.49788854,-0.4908873,0.49562448,0.51526016,-1.0
800985250,3,-0.49788952,-0.4908843,0.4956242,0.5152623,-1.0
800985259,3,-0.49788743,-0.49088416,0.49562094,0.51526767,-1.0
800985269,3,-0.49789232,-0.49088064,0.4956263,0.5152611,-1.0
800985279,3,-0.4978932,-0.4908749,0.4956242,0.5152677,-1.0
800985289,3,-0.49789473,-0.4908699,0.49562356,0.51527166,-1.0
800985299,3,-0.4978905,-0.49087217,0.49561843,0.51527846,-1.0
800985309,3,-0.49789166,-0.49087167,0.49561995,0.5152764,-1.0
800985319,3,-0.49788216,-0.49088144,0.49561122,0.5152847,-1.0
800985329,3,-0.4978747,-0.49089548,0.49560827,0.5152813,-1.0
800985339,3,-0.49787298,-0.49089766,0.4956069,0.5152822,-1.0
800985349,3,-0.4978739,-0.49089035,0.49560395,0.51529115,-1.0
800985359,3,-0.49787322,-0.49088854,0.49560183,0.51529557,-1.0
800985369,3,-0.49787128,-0.49089444,0.4956024,0.5152913,-1.0
800985379,3,-0.497871,-0.4908912,0.49560001,0.51529694,-1.0
800985389,3,-0.49786705,-0.4908969,0.4955974,0.51529783,-1.0
800985399,3,-0.4978639,-0.49090338,0.49559647,0.5152956,-1.0
800985409,3,-0.49786252,-0.49090487,0.49559525,0.51529664,-1.0
800985419,3,-0.4978621,-0.49089807,0.4955905,0.51530814,-1.0
800985429,3,-0.49786198,-0.49090138,0.49559233,0.5153033,-1.0
800985439,3,-0.4978674,-0.49088898,0.4955932,0.5153091,-1.0
800985449,3,-0.49786484,-0.49090236,0.4955973,0.51529485,-1.0
800985459,3,-0.4978639,-0.49091142,0.49560127,0.51528335,-1.0
800985469,3,-0.49786136,-0.49091494,0.4955995,0.5152841,-1.0
800985479,3,-0.49785712,-0.49091825,0.495595,0.51528937,-1.0
