baro_s002_001 Pressure Sensor Non-wakeup,Goertek,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),pressure[millibar]
801261747,3,977.42444
801261778,3,977.3744
801261809,3,977.3066
801261840,3,977.305
801261872,3,977.33057
801261903,3,977.36426
801261934,3,977.3888
801261965,3,977.37054
801261997,3,977.28204
801262028,3,977.2485
801262059,3,977.2623
801262090,3,977.28467
801262122,3,977.2628
801262153,3,977.2954
801262184,3,977.3429
801262215,3,977.3088
801262247,3,977.22797
801262278,3,977.24133
801262310,3,977.28986
801262340,3,977.3544
801262372,3,977.36346
801262403,3,977.30383
801262434,3,977.27496
801262465,3,977.28186
801262497,3,977.3966
801262528,3,977.46906
801262559,3,977.4466
801262590,3,977.43494
801262622,3,977.4376
801262653,3,977.4861
801262684,3,977.50275
801262715,3,977.4989
801262747,3,977.49835
801262778,3,977.44885
801262809,3,977.4659
801262840,3,977.3641
801262872,3,977.3219
801262903,3,977.2771
801262934,3,977.38
801262965,3,977.3842
801262997,3,977.3795
801263028,3,977.39545
801263060,3,977.39545
801263090,3,977.21893
801263122,3,977.1299
801263153,3,977.07074
801263184,3,977.00134
801263215,3,977.00714
801263247,3,977.0575
801263278,3,977.04626
801263309,3,977.0575
801263340,3,977.08527
801263372,3,977.1193
801263403,3,977.1098
801263434,3,977.04626
801263465,3,977.0928
801263497,3,977.0986
801263528,3,977.1007
801263559,3,977.074
801263590,3,977.1283
801263622,3,977.1327
801263653,3,977.11566
801263684,3,977.0986
801263715,3,977.12317
801263747,3,977.1406
801263778,3,977.1135
801263809,3,977.10864
801263840,3,977.1135
801263872,3,977.12994
801263903,3,977.0996
801263934,3,977.0883
801263965,3,977.11664
801263997,3,977.1283
801264028,3,977.16895
801264059,3,977.1961
801264090,3,977.2383
801264122,3,977.28424
801264153,3,977.2564
801264184,3,977.2479
801264215,3,977.2655
801264247,3,977.23566
801264278,3,977.21497
801264309,3,977.21747
801264340,3,977.1899
