acc_s001_004 Accelerometer-Uncalibrated Non-wakeup,STMicro,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2]
801243374,3,1741275717201765635,0.10199407,-9.772886,0.15553348,0.0,0.0,0.0
801243384,3,1741275717211749072,0.10677971,-9.77468,0.15493527,0.0,0.0,0.0
801243394,3,1741275717221732145,0.10199407,-9.766604,0.15074782,0.0,0.0,0.0
801243404,3,1741275717231797353,0.10378868,-9.769596,0.15613168,0.0,0.0,0.0
801243414,3,1741275717241979645,0.10199407,-9.762417,0.1477568,0.0,0.0,0.0
801243424,3,1741275717252162510,0.091525465,-9.7704935,0.15553348,0.0,0.0,0.0
801243434,3,1741275717262243708,0.10079765,-9.766604,0.14955142,0.0,0.0,0.0
801243444,3,1741275717272242926,0.093918286,-9.757931,0.16091733,0.0,0.0,0.0
801243454,3,1741275717282227197,0.1061815,-9.749556,0.15583257,0.0,0.0,0.0
801243464,3,1741275717292211155,0.10468599,-9.769895,0.14446667,0.0,0.0,0.0
801243474,3,1741275717302195114,0.10079765,-9.762417,0.16630118,0.0,0.0,0.0
801243484,3,1741275717312178499,0.09272188,-9.763913,0.1471586,0.0,0.0,0.0
801243494,3,1741275717322161572,0.11395818,-9.757631,0.16271193,0.0,0.0,0.0
801243504,3,1741275717332144749,0.10049855,-9.75823,0.16061822,0.0,0.0,0.0
801243514,3,1741275717342245114,0.10977074,-9.77139,0.15343975,0.0,0.0,0.0
801243525,3,1741275717352427405,0.11425728,-9.76152,0.16031912,0.0,0.0,0.0
801243535,3,1741275717362610374,0.1058824,-9.77139,0.1591227,0.0,0.0,0.0
801243545,3,1741275717372793551,0.09720842,-9.755538,0.15583257,0.0,0.0,0.0
801243555,3,1741275717382976728,0.09571291,-9.766604,0.15433706,0.0,0.0,0.0
801243565,3,1741275717393159905,0.09601201,-9.769297,0.15523437,0.0,0.0,0.0
801243575,3,1741275717403206989,0.10348958,-9.766306,0.1576272,0.0,0.0,0.0
801243585,3,1741275717413196624,0.112761766,-9.7609215,0.16360925,0.0,0.0,0.0
801243595,3,1741275717423180791,0.09960124,-9.763614,0.16600206,0.0,0.0,0.0
801243605,3,1741275717433164749,0.10707881,-9.762417,0.15792629,0.0,0.0,0.0
801243615,3,1741275717443149385,0.1055833,-9.772587,0.16061822,0.0,0.0,0.0
801243625,3,1741275717453133551,0.10229317,-9.775279,0.15164514,0.0,0.0,0.0
801243635,3,1741275717463117510,0.10199407,-9.770194,0.15732808,0.0,0.0,0.0
801243645,3,1741275717473101468,0.10348958,-9.766306,0.15493527,0.0,0.0,0.0
801243655,3,1741275717483086103,0.10229317,-9.767502,0.1582254,0.0,0.0,0.0
801243665,3,1741275717493070270,0.09661021,-9.763614,0.15194423,0.0,0.0,0.0
801243675,3,1741275717503054228,0.0951147,-9.756136,0.16360925,0.0,0.0,0.0
801243685,3,1741275717513038864,0.10289137,-9.759128,0.16959131,0.0,0.0,0.0
801243695,3,1741275717523023030,0.100199446,-9.767203,0.16510476,0.0,0.0,0.0
801243705,3,1741275717533006989,0.11964113,-9.765707,0.16241284,0.0,0.0,0.0
801243715,3,1741275717542990947,0.10378868,-9.764511,0.17198412,0.0,0.0,0.0
801243725,3,1741275717552975583,0.111266255,-9.772287,0.15672988,0.0,0.0,0.0
801243735,3,1741275717562959749,0.11694921,-9.768699,0.16630118,0.0,0.0,0.0
801243745,3,1741275717572943708,0.10707881,-9.760024,0.1585245,0.0,0.0,0.0
801243755,3,1741275717582928343,0.111864455,-9.756435,0.15463616,0.0,0.0,0.0
801243765,3,1741275717592912510,0.10468599,-9.757033,0.15882361,0.0,0.0,0.0
801243775,3,1741275717602896468,0.104985096,-9.761819,0.17048861,0.0,0.0,0.0
801243785,3,1741275717612881103,0.09451649,-9.768699,0.17288144,0.0,0.0,0.0
801243795,3,1741275717622865270,0.10199407,-9.762118,0.17587246,0.0,0.0,0.0
801243805,3,1741275717632849228,0.111864455,-9.763913,0.16061822,0.0,0.0,0.0
801243815,3,1741275717642833187,0.111266255,-9.772287,0.15702899,0.0,0.0,0.0
801243825,3,1741275717652817822,0.10229317,-9.756435,0.1692922,0.0,0.0,0.0
801243835,3,1741275717662801989,0.09930214,-9.766604,0.15972091,0.0,0.0,0.0
801243845,3,1741275717672785947,0.103190474,-9.771091,0.17497516,0.0,0.0,0.0
801243855,3,1741275717682770583,0.10857433,-9.764511,0.17437695,0.0,0.0,0.0
801243865,3,1741275717692754749,0.09571291,-9.770792,0.16271193,0.0,0.0,0.0
801243875,3,1741275717702738708,0.09720842,-9.770792,0.17198412,0.0,0.0,0.0
801243885,3,1741275717712723343,0.10229317,-9.769297,0.15613168,0.0,0.0,0.0
801243895,3,1741275717722707510,0.106480606,-9.756435,0.16031912,0.0,0.0,0.0
801243905,3,1741275717732691468,0.10079765,-9.755239,0.1680958,0.0,0.0,0.0
801243915,3,1741275717742674749,0.09840483,-9.771689,0.1594218,0.0,0.0,0.0
801243925,3,1741275717752659697,0.0951147,-9.766604,0.15613168,0.0,0.0,0.0
801243935,3,1741275717762644072,0.09990034,-9.77139,0.16301104,0.0,0.0,0.0
801243945,3,1741275717772628030,0.10707881,-9.774382,0.13998012,0.0,0.0,0.0
801243955,3,1741275717782612666,0.10289137,-9.753445,0.15493527,0.0,0.0,0.0
