timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
884,801243851,0.004734202,-0.0024434591,0.0019853106,0.103190474,-9.771091,0.17497516,4.375,8.1625,150.90001,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
894,801243861,0.0048869182,-0.0025961753,0.0021380268,0.10857433,-9.764511,0.17437695,4.375,8.1375,150.8875,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
904,801243871,0.0050396346,-0.0012217296,0.0027488915,0.09571291,-9.770792,0.16271193,4.3875003,8.1375,150.8625,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
914,801243881,0.005497783,-0.0010690134,0.0015271619,0.09720842,-9.770792,0.17198412,4.4125,8.150001,150.825,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
924,801243891,0.005497783,-0.0021380268,0.0018325944,0.10229317,-9.769297,0.15613168,4.425,8.150001,150.8,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
934,801243901,0.0056504994,-0.0013744457,0.0019853106,0.106480606,-9.756435,0.16031912,4.425,8.1375,150.77501,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
944,801243911,0.0059559317,-0.0015271619,0.0016798781,0.10079765,-9.755239,0.1680958,4.4,8.1125,150.7625,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
954,801243921,0.0059559317,-0.002290743,0.0016798781,0.09840483,-9.771689,0.1594218,4.3875003,8.125,150.75,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
964,801243931,0.004734202,-0.002290743,0.0025961753,0.0951147,-9.766604,0.15613168,4.375,8.1375,150.725,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
974,801243941,0.0050396346,-0.0018325944,0.0016798781,0.09990034,-9.77139,0.16301104,4.375,8.150001,150.71251,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
984,801243951,0.0050396346,-0.0021380268,0.002290743,0.10707881,-9.774382,0.13998012,4.4,8.1625,150.75,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
994,801243961,0.005345067,-0.0019853106,0.0015271619,0.10289137,-9.753445,0.15493527,4.4125,8.150001,150.83751,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
1004,801243971,0.0051923506,-0.0019853106,0.0018325944,0.10857433,-9.772886,0.16331014,4.4,8.150001,150.9125,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
1014,801243981,0.0044287695,-0.0024434591,0.0012217296,0.112761766,-9.762417,0.16390835,4.3875003,8.1875,150.975,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
1024,801243991,0.0044287695,-0.0015271619,0.0019853106,0.10767702,-9.764811,0.17168503,4.3375,8.2,150.975,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
1034,801244001,0.005345067,-0.0021380268,0.0018325944,0.10977074,-9.775877,0.1683949,4.2875,8.212501,151.02501,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
1044,801244011,0.005345067,-0.002290743,0.0016798781,0.1058824,-9.765707,0.15672988,4.25,8.25,151.05,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
1054,801244021,0.0051923506,-0.0027488915,0.0015271619,0.10378868,-9.7609215,0.16390835,4.1875,8.2375,151.0625,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
1064,801244031,0.0044287695,-0.0021380268,9.162972E-4,0.10797612,-9.758828,0.17108682,4.1625,8.2375,151.1,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
