linear_acceleration,QTI,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
801243959,3,0.0045165867,-0.007580757,-0.011753902
801243969,3,-0.0011830479,0.002234459,-0.0024119765
801243979,3,0.010291703,8.1539154E-4,0.0012691319
801243989,3,0.009210177,-0.0036239624,0.01297459
801243999,3,-2.9131025E-4,-0.0038404465,0.014168218
801244009,3,0.01229056,-0.0054368973,0.0077010393
801244019,3,-0.0020860508,0.0054473877,-0.0045033693
801244029,3,0.005757466,0.0061893463,0.0035418868
801244039,3,0.004377462,-0.0011110306,0.0076532513
801244049,3,-0.004626274,0.0036144257,-1.6064942E-4
801244059,3,-0.0011421964,-0.008345604,0.01321733
801244069,3,0.008312866,0.0064668655,0.0074093193
801244079,3,0.010309294,0.0011005402,0.011566862
801244089,3,0.0020990446,-0.00237751,-0.002456367
801244099,3,-0.0076704696,-0.009947777,0.0041056275
801244109,3,0.0076578483,0.006134033,0.020255715
801244119,3,0.00973963,0.002708435,0.0071475506
801244129,3,0.002473347,0.002940178,0.008671716
801244139,3,0.0049119964,0.0039978027,0.0049405247
801244148,3,-0.0067790374,0.0073919296,0.00735873
801244158,3,-0.004643865,-0.008646011,0.006416768
801244168,3,-0.0019545704,0.0067224503,-6.1385334E-4
801244178,3,-0.009524308,-0.0076436996,0.005815506
801244188,3,0.005487956,-0.008347511,-0.0065963566
801244198,3,0.0049352944,-0.001288414,0.010550454
801244208,3,0.0013047084,-0.00735569,5.3036213E-4
801244218,3,0.009436697,-0.005572319,-0.005451992
801244228,3,-0.0010711923,0.010437012,0.0015844256
801244238,3,0.0024779737,-0.0142326355,-1.950562E-4
801244248,3,-0.0010074973,0.008564949,-0.008914307
801244258,3,-0.0058322996,0.0044078827,0.0071121454
801244268,3,-2.4589896E-4,-0.0050764084,9.0770423E-4
801244278,3,0.003000103,0.003033638,-0.0019946247
801244288,3,0.0036450028,-0.0015821457,0.0047141016
801244298,3,0.010589443,6.5898895E-4,4.581809E-4
801244308,3,0.0029265583,-0.00959301,0.010088667
801244318,3,0.0023826808,-0.003619194,0.0061389953
801244328,3,0.0014197156,0.0068235397,-0.0015119463
801244338,3,0.009212241,-0.016266823,0.0025678724
801244348,3,0.0047359318,0.0057353973,-0.0025624186
801244358,3,-0.0033064932,-0.0012798309,0.005330369
801244368,3,0.008073568,-0.009977341,0.0072683543
801244378,3,0.0012990236,0.008460045,0.0027769655
801244388,3,0.0040135905,0.004998207,0.0010888427
801244398,3,0.01345811,-0.0033912659,0.00882633
801244408,3,0.010550499,-0.0020856857,0.0055347234
801244418,3,0.0015199184,-0.0080013275,-0.013722748
801244428,3,-0.00848797,-0.0049619675,-0.01137273
801244438,3,-0.0022334754,0.005085945,0.009400889
801244448,3,0.0087685585,-0.0017814636,0.00454095
801244458,3,0.0026604459,-0.002166748,0.0054367185
801244468,3,0.001283519,0.0128183365,0.0045315176
801244478,3,-0.004291989,-0.0017881393,0.01033701
801244488,3,-0.0026745424,-0.0024499893,-0.0018593371
801244498,3,0.010141522,0.0010519028,0.009579644
801244508,3,-0.0023088455,-0.009070396,0.0066622943
801244518,3,0.0018007532,-0.0062856674,0.006175518
801244528,3,-9.942874E-4,-0.0045204163,0.004166156
801244538,3,0.0030543879,-5.683899E-4,0.0027451068
801244548,3,0.006624393,-2.8038025E-4,0.009852231
801244558,3,-0.0018017441,-0.003873825,0.009124443
801244568,3,0.011166051,0.0038042068,-0.001453653
801244578,3,6.0061365E-4,0.0018014908,0.0139191
801244588,3,-0.001980722,0.00993824,-0.008992314
801244598,3,-0.0035788566,-0.008775711,0.0017978549
801244608,3,0.019569531,-0.003921509,0.0070186406
801244618,3,-0.0018674657,0.005419731,0.0027114004
801244628,3,-5.133897E-4,-0.001036644,-0.0034260899
801244638,3,9.854436E-4,0.004102707,-0.0017313361
801244648,3,-0.010419346,-1.1730194E-4,0.0040414184
801244658,3,-0.0015101358,-0.001499176,-0.0026647449
801244668,3,-0.0048379973,0.01804161,9.0017915E-4
801244678,3,-0.0057242364,-0.0063409805,-7.3488057E-4
801244688,3,-0.0072244406,0.003036499,-0.009451419
801244698,3,0.0041994974,0.005756378,0.009304345
801244708,3,0.0033859238,-0.014547348,0.007753864
801244718,3,0.008009523,0.0046577454,0.0026909262
801244728,3,0.002368778,7.0381165E-4,0.0052315593
801244738,3,-0.005046867,-0.0018005371,0.0018838197
801244748,3,-0.0027866066,-0.003153801,-0.0030977726
801244758,3,-0.0022045448,-0.0026845932,0.008350313
801244768,3,0.0022850484,-0.0062379837,-0.004849687
801244777,3,0.0028519183,0.0045223236,0.005415082
801244787,3,7.711202E-4,-0.0046873093,5.673021E-4
801244797,3,0.011862315,0.007016182,0.008739129
801244807,3,-0.0016133785,0.0019168854,-4.2012334E-4
801244817,3,0.0108791515,0.0046520233,-0.0056747347
801244827,3,-6.209463E-4,0.0029144287,-0.0071674883
801244837,3,-0.0016385987,-0.007792473,-0.0027742088
801244847,3,-0.0027145594,6.427765E-4,0.008825138
801244857,3,0.010786809,0.0016012192,-0.0064271986
801244867,3,-0.0072585344,-3.6239624E-4,0.003152296
801244877,3,-5.747676E-4,0.011685371,-0.011103317
801244887,3,0.006549582,-0.0053958893,-0.0033562481
801244897,3,-0.004539378,0.0030002594,0.0069678873
801244907,3,-0.004821591,-0.004384041,-0.002300948
801244917,3,-0.0015562996,-0.003619194,-0.0014118254
801244927,3,0.003910929,-0.012556076,0.0031835735
801244937,3,9.627044E-4,0.009797096,0.0025941283
801244947,3,0.013038687,-0.0071115494,0.014319271
801244957,3,0.0063537657,-0.016404152,-0.00622046
801244967,3,0.009142838,0.0043535233,6.275624E-4
801244977,3,0.016674064,-0.003191948,-0.0032336265
801244987,3,-0.018902212,0.004890442,0.001711294
801244997,3,0.004023038,0.007021904,-0.004189104
801245007,3,-0.005431786,0.003583908,3.902316E-4
801245017,3,0.006654002,0.0025577545,7.2704256E-4
801245027,3,5.732998E-4,-0.0030212402,-0.0015020967
801245037,3,0.0021862835,0.007133484,-0.0014232695
801245047,3,0.0038131252,0.0038318634,-0.001810357
801245057,3,-0.0025660247,-0.0039815903,-0.012690827
801245067,3,0.0029939786,0.012001038,0.0021627396
801245077,3,-0.0016191751,-0.0013456345,0.0014036894
801245087,3,-0.0073336735,0.0057353973,0.005013585
801245097,3,0.005903326,-0.004463196,7.660687E-5
801245107,3,0.020159625,-0.0057735443,-0.0042298883
801245117,3,-0.00468491,0.020622253,0.0014790148
801245127,3,2.2592396E-4,-0.0015888214,-0.0076543093
801245137,3,0.0044807196,-0.0058526993,0.0060138702
801245147,3,-0.0061890334,0.009744644,-6.554872E-4
801245157,3,-0.0013841093,-0.006333351,0.0030961633
801245167,3,-1.4768541E-4,0.012042046,-0.007877052
801245177,3,9.5731765E-4,0.0011844635,-0.009284705
801245187,3,0.0012191907,-0.0024347305,0.0063005835
801245197,3,-0.0019483864,9.727478E-5,-0.0030655116
801245207,3,0.00888177,7.867813E-4,-0.0011882186
801245217,3,-0.002440825,-0.0061473846,0.0026971102
801245227,3,0.004570149,-0.0011997223,0.0036117584
801245237,3,-0.011773385,0.003528595,0.0059994757
801245247,3,-0.0045564026,-0.0052490234,-0.0041582882
801245257,3,0.009085663,-0.003501892,-0.0069692433
801245267,3,0.005816087,1.5735626E-4,0.0077311248
801245277,3,0.0014646575,-0.0021982193,-0.0031813085
801245287,3,0.007760383,-0.005760193,-0.005950406
