gyro_s001_004 Gyroscope Non-wakeup,STMicro,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
801245269,3,1741275719096896885,-1.527162E-4,-1.527162E-4,6.108648E-4
801245279,3,1741275719106880843,1.527162E-4,3.054324E-4,0.0
801245289,3,1741275719116864437,-1.527162E-4,4.581486E-4,0.0010690134
801245299,3,1741275719126848343,-3.054324E-4,6.108648E-4,-4.581486E-4
801245309,3,1741275719136833864,-0.0,3.054324E-4,-1.527162E-4
801245319,3,1741275719146817822,-7.6358096E-4,3.054324E-4,1.527162E-4
801245329,3,1741275719156802145,-3.054324E-4,3.054324E-4,-1.527162E-4
801245339,3,1741275719166786624,-0.0013744457,3.054324E-4,9.162972E-4
801245349,3,1741275719176770583,-7.6358096E-4,4.581486E-4,-1.527162E-4
801245359,3,1741275719186754905,3.054324E-4,-1.527162E-4,7.6358096E-4
801245369,3,1741275719196739385,-3.054324E-4,9.162972E-4,6.108648E-4
801245379,3,1741275719206723343,1.527162E-4,0.0015271619,4.581486E-4
801245389,3,1741275719216706937,3.054324E-4,4.581486E-4,7.6358096E-4
801245399,3,1741275719226690947,-7.6358096E-4,7.6358096E-4,-0.0
801245409,3,1741275719236675947,-3.054324E-4,-1.527162E-4,-3.054324E-4
801245419,3,1741275719246660270,1.527162E-4,1.527162E-4,0.0
801245429,3,1741275719256644749,4.581486E-4,6.108648E-4,-0.0
801245439,3,1741275719266628708,-9.162972E-4,6.108648E-4,-6.108648E-4
801245449,3,1741275719276613030,-3.054324E-4,1.527162E-4,0.0
801245459,3,1741275719286597510,-3.054324E-4,6.108648E-4,-4.581486E-4
801245469,3,1741275719296581468,-0.0010690134,6.108648E-4,6.108648E-4
801245479,3,1741275719306565791,-4.581486E-4,4.581486E-4,1.527162E-4
801245489,3,1741275719316550270,-4.581486E-4,7.6358096E-4,-4.581486E-4
801245499,3,1741275719326534228,-0.0010690134,0.0,0.0
801245509,3,1741275719336518551,-4.581486E-4,-1.527162E-4,7.6358096E-4
801245519,3,1741275719346503030,-1.527162E-4,-0.0,-7.6358096E-4
801245529,3,1741275719356486989,-6.108648E-4,1.527162E-4,1.527162E-4
801245539,3,1741275719366471312,3.054324E-4,-7.6358096E-4,9.162972E-4
801245549,3,1741275719376455791,-7.6358096E-4,3.054324E-4,1.527162E-4
801245559,3,1741275719386439749,3.054324E-4,3.054324E-4,-3.054324E-4
801245569,3,1741275719396424072,-1.527162E-4,4.581486E-4,-3.054324E-4
