acc_s003_002 QTI-Accelerometer-Uncalibrated Non-wakeup,TDK-Invensense,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc2_uncal_x[m/s^2],acc2_uncal_y[m/s^2],acc2_uncal_z[m/s^2]
801243922,3,1741275717750046103,-0.11361571,-9.78384,0.014713123
801243932,3,1741275717759951260,-0.1040389,-9.788629,0.03865514
801243942,3,1741275717769882926,-0.1040389,-9.793417,0.014713123
801243952,3,1741275717779841520,-0.1040389,-9.788629,0.01950153
801243962,3,1741275717789826416,-0.11361571,-9.78384,0.014713123
801243972,3,1741275717799836208,-0.1040389,-9.779052,0.009924725
801243982,3,1741275717809847197,-0.1040389,-9.78384,0.0051363185
801243992,3,1741275717819858187,-0.10882731,-9.793417,0.01950153
801244002,3,1741275717829892041,-0.11361571,-9.788629,0.01950153
801244012,3,1741275717839948916,-0.10882731,-9.788629,0.024289936
801244022,3,1741275717850029801,-0.12319252,-9.78384,3.479123E-4
801244032,3,1741275717860134801,-0.11361571,-9.788629,0.009924725
801244042,3,1741275717870263655,-0.11361571,-9.793417,3.479123E-4
801244053,3,1741275717880415635,-0.1040389,-9.793417,3.479123E-4
801244063,3,1741275717890590114,-0.0992505,-9.779052,0.014713123
801244073,3,1741275717900786572,-0.10882731,-9.793417,0.01950153
801244083,3,1741275717910591989,-0.10882731,-9.788629,0.009924725
801244093,3,1741275717920397405,-0.1040389,-9.779052,0.014713123
801244102,3,1741275717930228447,-0.10882731,-9.793417,0.014713123
801244112,3,1741275717940081260,-0.11840411,-9.78384,0.009924725
801244122,3,1741275717949960583,-0.11840411,-9.78384,0.014713123
801244132,3,1741275717959866572,-0.1040389,-9.78384,0.024289936
801244142,3,1741275717969799645,-0.11840411,-9.788629,0.009924725
801244152,3,1741275717979759489,-0.11361571,-9.788629,0.0051363185
801244162,3,1741275717989744541,-0.12319252,-9.793417,3.479123E-4
801244172,3,1741275717999754228,-0.11361571,-9.788629,0.014713123
801244182,3,1741275718009764489,-0.11840411,-9.788629,0.009924725
801244192,3,1741275718019774749,-0.11840411,-9.788629,-0.0044404864
801244202,3,1741275718029808083,-0.11361571,-9.788629,0.0051363185
801244212,3,1741275718039864124,-0.10882731,-9.788629,0.0051363185
801244222,3,1741275718049944958,-0.1040389,-9.793417,0.01950153
801244232,3,1741275718060050583,-0.11361571,-9.788629,0.029078335
801244242,3,1741275718070180062,-0.11840411,-9.78384,0.014713123
801244253,3,1741275718080333239,-0.11361571,-9.78384,0.009924725
801244263,3,1741275718090509124,-0.10882731,-9.78384,0.0051363185
801244273,3,1741275718100707353,-0.11840411,-9.78384,0.009924725
801244283,3,1741275718110512770,-0.11840411,-9.779052,0.014713123
801244292,3,1741275718120318187,-0.10882731,-9.779052,-0.0044404864
801244302,3,1741275718130149645,-0.11361571,-9.788629,0.0051363185
801244312,3,1741275718140007249,-0.1040389,-9.793417,3.479123E-4
801244322,3,1741275718149888812,-0.10882731,-9.793417,0.009924725
801244332,3,1741275718159795530,-0.10882731,-9.793417,0.009924725
