Format Version,1.23,Take Name,Take 2025-03-06 06.38.58 PM_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-03-06 06.43.21.088 PM,Capture Start Frame,49894,Total Frames in Take,11684,Total Exported Frames,11684,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010
,ID,"EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
158,1.580000,0.286141,-0.572028,-0.689158,0.340540,-0.569011,0.065193,0.014467
159,1.590000,0.286062,-0.572043,-0.689023,0.340856,-0.568987,0.065176,0.014492
160,1.600000,0.285997,-0.571977,-0.689034,0.340999,-0.569021,0.065171,0.014510
161,1.610000,0.285921,-0.572039,-0.689059,0.340907,-0.568974,0.065213,0.014532
162,1.620000,0.285944,-0.572015,-0.689072,0.340903,-0.568989,0.065219,0.014523
163,1.630000,0.286800,-0.571985,-0.688812,0.340761,-0.569110,0.065117,0.014443
164,1.640000,0.285926,-0.572082,-0.689065,0.340821,-0.569002,0.065217,0.014527
165,1.650000,0.286943,-0.571997,-0.688823,0.340598,-0.569130,0.065099,0.014435
166,1.660000,0.286443,-0.571167,-0.689500,0.341041,-0.568951,0.065233,0.014408
167,1.670000,0.286056,-0.571902,-0.689163,0.340814,-0.569022,0.065181,0.014487
168,1.680000,0.285996,-0.571900,-0.689113,0.340969,-0.569025,0.065186,0.014495
169,1.690000,0.286417,-0.571079,-0.689557,0.341095,-0.568959,0.065236,0.014408
170,1.700000,0.286068,-0.571935,-0.689094,0.340888,-0.569013,0.065182,0.014511
171,1.710000,0.286559,-0.571180,-0.689632,0.340655,-0.568991,0.065245,0.014394
172,1.720000,0.286004,-0.571966,-0.689032,0.341015,-0.568980,0.065179,0.014481
173,1.730000,0.286397,-0.572041,-0.688659,0.341313,-0.569054,0.065152,0.014485
174,1.740000,0.286686,-0.571944,-0.688774,0.341001,-0.569108,0.065075,0.014452
175,1.750000,0.286063,-0.571994,-0.689050,0.340883,-0.568985,0.065166,0.014485
176,1.760000,0.285973,-0.571946,-0.688969,0.341203,-0.568966,0.065192,0.014545
177,1.770000,0.287153,-0.571097,-0.689216,0.341135,-0.569064,0.065150,0.014367
178,1.780000,0.286099,-0.572037,-0.689094,0.340693,-0.569000,0.065182,0.014489
179,1.790000,0.285946,-0.572014,-0.689036,0.340975,-0.568979,0.065183,0.014492
180,1.800000,0.286485,-0.571215,-0.689635,0.340650,-0.568973,0.065259,0.014395
