Format Version,1.23,Take Name,Take 2025-03-06 06.38.58 PM_004,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-03-06 07.04.03.103 PM,Capture Start Frame,174096,Total Frames in Take,20102,Total Exported Frames,20102,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010
,ID,"EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
99,0.990000,-0.287065,0.570726,0.689369,-0.341521,-0.569073,0.065162,0.014479
100,1.000000,-0.286999,0.570764,0.689440,-0.341369,-0.569075,0.065171,0.014486
101,1.010000,-0.287058,0.570689,0.689408,-0.341509,-0.569079,0.065133,0.014484
102,1.020000,-0.287095,0.570719,0.689357,-0.341530,-0.569089,0.065133,0.014475
103,1.030000,-0.287149,0.570705,0.689404,-0.341413,-0.569076,0.065125,0.014480
104,1.040000,-0.287060,0.570644,0.689488,-0.341421,-0.569072,0.065152,0.014482
105,1.050000,-0.287100,0.570658,0.689414,-0.341514,-0.569066,0.065163,0.014494
106,1.060000,-0.287064,0.570683,0.689437,-0.341455,-0.569071,0.065158,0.014497
107,1.070000,-0.286997,0.570690,0.689431,-0.341512,-0.569073,0.065150,0.014479
108,1.080000,-0.286949,0.570648,0.689453,-0.341580,-0.569092,0.065153,0.014508
109,1.090000,-0.287066,0.570677,0.689399,-0.341541,-0.569088,0.065139,0.014484
110,1.100000,-0.287049,0.570751,0.689421,-0.341387,-0.569076,0.065152,0.014491
111,1.110000,-0.287047,0.570627,0.689425,-0.341588,-0.569086,0.065164,0.014483
112,1.120000,-0.287033,0.570647,0.689479,-0.341456,-0.569075,0.065151,0.014497
113,1.130000,-0.286999,0.570727,0.689389,-0.341533,-0.569067,0.065157,0.014492
114,1.140000,-0.287058,0.570626,0.689490,-0.341449,-0.569077,0.065153,0.014496
115,1.150000,-0.287084,0.570622,0.689430,-0.341554,-0.569070,0.065169,0.014496
116,1.160000,-0.287033,0.570610,0.689483,-0.341511,-0.569071,0.065148,0.014499
117,1.170000,-0.287096,0.570663,0.689472,-0.341393,-0.569065,0.065155,0.014494
118,1.180000,-0.287043,0.570662,0.689490,-0.341401,-0.569073,0.065157,0.014499
