mag_s004_001 Magnetometer-Uncalibrated Non-wakeup,QST,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
801750860,3,2.8500001,9.2375,152.25,-27.0,-69.0,177.0
801750870,3,2.8625,9.225,152.27501,-27.0,-69.0,177.0
801750879,3,2.825,9.212501,152.3125,-27.0,-69.0,177.0
801750889,3,2.8375,9.225,152.3,-27.0,-69.0,177.0
801750898,3,2.8375,9.212501,152.25,-27.0,-69.0,177.0
801750908,3,2.8125,9.212501,152.2,-27.0,-69.0,177.0
801750917,3,2.825,9.212501,152.1125,-27.0,-69.0,177.0
801750927,3,2.8125,9.1875,151.9875,-27.0,-69.0,177.0
801750936,3,2.825,9.1625,151.875,-27.0,-69.0,177.0
801750946,3,2.8375,9.1375,151.8125,-27.0,-69.0,177.0
801750955,3,2.8625,9.150001,151.71251,-27.0,-69.0,177.0
801750965,3,2.8625,9.175,151.675,-27.0,-69.0,177.0
801750974,3,2.8875,9.2,151.6875,-27.0,-69.0,177.0
801750984,3,2.925,9.2375,151.7,-27.0,-69.0,177.0
801750993,3,2.9375,9.2375,151.725,-27.0,-69.0,177.0
801751003,3,2.95,9.225,151.7875,-27.0,-69.0,177.0
801751012,3,2.95,9.212501,151.90001,-27.0,-69.0,177.0
801751022,3,2.95,9.212501,151.96251,-27.0,-69.0,177.0
801751031,3,2.9125001,9.175,152.075,-27.0,-69.0,177.0
801751041,3,2.8875,9.125,152.08751,-27.0,-69.0,177.0
801751050,3,2.8500001,9.087501,152.08751,-27.0,-69.0,177.0
801751060,3,2.8,9.05,152.075,-27.0,-69.0,177.0
801751069,3,2.7875001,9.05,152.0625,-27.0,-69.0,177.0
801751079,3,2.775,9.075,152.075,-27.0,-69.0,177.0
801751088,3,2.775,9.1125,152.05,-27.0,-69.0,177.0
801751098,3,2.7875001,9.1375,152.0,-27.0,-69.0,177.0
801751107,3,2.825,9.175,151.95,-27.0,-69.0,177.0
801751117,3,2.8500001,9.212501,151.95,-27.0,-69.0,177.0
801751126,3,2.875,9.2375,151.9375,-27.0,-69.0,177.0
801751136,3,2.9,9.25,151.925,-27.0,-69.0,177.0
801751145,3,2.9,9.2375,151.9125,-27.0,-69.0,177.0
801751155,3,2.9125001,9.212501,151.8875,-27.0,-69.0,177.0
801751164,3,2.9,9.175,151.8625,-27.0,-69.0,177.0
801751174,3,2.875,9.1375,151.8625,-27.0,-69.0,177.0
801751183,3,2.8625,9.1,151.875,-27.0,-69.0,177.0
801751193,3,2.875,9.087501,151.8625,-27.0,-69.0,177.0
801751202,3,2.8875,9.087501,151.8625,-27.0,-69.0,177.0
801751212,3,2.9125001,9.087501,151.9125,-27.0,-69.0,177.0
801751221,3,2.9375,9.1,151.9375,-27.0,-69.0,177.0
801751231,3,2.9375,9.1125,151.95,-27.0,-69.0,177.0
