gyro_s001_004 Gyroscope Non-wakeup,STMicro,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
801749770,3,1741276223597754186,0.0,-3.054324E-4,-3.054324E-4
801749780,3,1741276223607739186,1.527162E-4,-4.581486E-4,3.054324E-4
801749790,3,1741276223617724759,-4.581486E-4,-3.054324E-4,-3.054324E-4
801749800,3,1741276223627709603,3.054324E-4,6.108648E-4,-1.527162E-4
801749810,3,1741276223637694446,-1.527162E-4,-4.581486E-4,-4.581486E-4
801749820,3,1741276223647679446,7.6358096E-4,-6.108648E-4,-1.527162E-4
801749830,3,1741276223657665019,-1.527162E-4,-9.162972E-4,4.581486E-4
801749840,3,1741276223667649863,4.581486E-4,-6.108648E-4,3.054324E-4
801749850,3,1741276223677634863,0.0,-4.581486E-4,-4.581486E-4
801749860,3,1741276223687620436,-3.054324E-4,-0.0012217296,4.581486E-4
801749870,3,1741276223697605280,-4.581486E-4,6.108648E-4,-3.054324E-4
801749880,3,1741276223707590123,-0.0,-7.6358096E-4,-4.581486E-4
801749890,3,1741276223717575123,0.0,-9.162972E-4,-1.527162E-4
801749900,3,1741276223727560696,6.108648E-4,0.0,-4.581486E-4
801749910,3,1741276223737545540,6.108648E-4,0.0,-4.581486E-4
801749920,3,1741276223747530384,6.108648E-4,3.054324E-4,4.581486E-4
801749930,3,1741276223757515384,9.162972E-4,-6.108648E-4,-1.527162E-4
801749940,3,1741276223767500957,0.0010690134,-4.581486E-4,-0.0010690134
801749950,3,1741276223777485800,0.0,-9.162972E-4,-4.581486E-4
801749960,3,1741276223787470644,-1.527162E-4,-7.6358096E-4,-0.0012217296
801749970,3,1741276223797455644,0.0,3.054324E-4,-7.6358096E-4
801749980,3,1741276223807441217,6.108648E-4,-1.527162E-4,-7.6358096E-4
801749990,3,1741276223817426061,3.054324E-4,1.527162E-4,-6.108648E-4
801750000,3,1741276223827411061,1.527162E-4,4.581486E-4,-4.581486E-4
801750009,3,1741276223837396634,3.054324E-4,-9.162972E-4,-6.108648E-4
801750019,3,1741276223847381478,3.054324E-4,-3.054324E-4,3.054324E-4
801750029,3,1741276223857366321,6.108648E-4,-0.0016798781,0.0
801750039,3,1741276223867351321,4.581486E-4,-4.581486E-4,-6.108648E-4
801750049,3,1741276223877336894,-0.0,-4.581486E-4,-1.527162E-4
801750059,3,1741276223887321738,-0.0,4.581486E-4,-3.054324E-4
801750069,3,1741276223897306582,-7.6358096E-4,4.581486E-4,-0.0012217296
801750079,3,1741276223907291582,0.0,-4.581486E-4,1.527162E-4
801750089,3,1741276223917277155,6.108648E-4,-1.527162E-4,1.527162E-4
801750099,3,1741276223927261998,0.0,-6.108648E-4,-1.527162E-4
801750109,3,1741276223937246686,7.6358096E-4,-7.6358096E-4,-4.581486E-4
801750119,3,1741276223947230957,-1.527162E-4,7.6358096E-4,0.0
801750129,3,1741276223957217259,-1.527162E-4,-4.581486E-4,0.0
801750139,3,1741276223967202259,-1.527162E-4,-4.581486E-4,-1.527162E-4
801750149,3,1741276223977187832,4.581486E-4,0.0,-0.0015271619
801750159,3,1741276223987172675,-0.0,-1.527162E-4,-4.581486E-4
801750169,3,1741276223997157519,-1.527162E-4,6.108648E-4,-4.581486E-4
801750179,3,1741276224007142519,1.527162E-4,1.527162E-4,-4.581486E-4
801750189,3,1741276224017128092,-7.6358096E-4,0.0012217296,-1.527162E-4
801750199,3,1741276224027112936,0.0,-3.054324E-4,0.0
801750209,3,1741276224037097780,7.6358096E-4,-0.0012217296,-4.581486E-4
801750219,3,1741276224047082780,0.0010690134,4.581486E-4,-7.6358096E-4
801750229,3,1741276224057068353,-6.108648E-4,1.527162E-4,-9.162972E-4
801750239,3,1741276224067053196,6.108648E-4,1.527162E-4,-4.581486E-4
801750249,3,1741276224077038196,-3.054324E-4,-3.054324E-4,-6.108648E-4
801750259,3,1741276224087023769,-0.0,1.527162E-4,-0.0
801750269,3,1741276224097008613,-4.581486E-4,-1.527162E-4,-1.527162E-4
801750279,3,1741276224106993457,0.0,0.0,-7.6358096E-4
801750289,3,1741276224116978457,1.527162E-4,-1.527162E-4,-3.054324E-4
801750299,3,1741276224126964030,1.527162E-4,-9.162972E-4,-0.0
801750309,3,1741276224136948873,1.527162E-4,1.527162E-4,-6.108648E-4
801750319,3,1741276224146933717,3.054324E-4,-4.581486E-4,-4.581486E-4
