acc_s001_004 Accelerometer-Uncalibrated Non-wakeup,STMicro,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2]
801749080,3,1741276222908305123,0.104985096,-9.771689,0.19800608,0.0,0.0,0.0
801749090,3,1741276222918291530,0.109471634,-9.75165,0.19172491,0.0,0.0,0.0
801749100,3,1741276222928276373,0.10707881,-9.7609215,0.19142582,0.0,0.0,0.0
801749110,3,1741276222938261113,0.10289137,-9.769895,0.19950159,0.0,0.0,0.0
801749120,3,1741276222948245228,0.101694964,-9.76152,0.19920248,0.0,0.0,0.0
801749130,3,1741276222958231634,0.11694921,-9.766904,0.19680966,0.0,0.0,0.0
801749140,3,1741276222968216582,0.10707881,-9.766006,0.19800608,0.0,0.0,0.0
801749150,3,1741276222978202207,0.10737792,-9.760324,0.19591236,0.0,0.0,0.0
801749160,3,1741276222988187050,0.09571291,-9.75494,0.19471595,0.0,0.0,0.0
801749170,3,1741276222998171894,0.09840483,-9.764212,0.21026929,0.0,0.0,0.0
801749180,3,1741276223008156842,0.10857433,-9.765109,0.19381863,0.0,0.0,0.0
801749190,3,1741276223018142467,0.10049855,-9.764212,0.19351953,0.0,0.0,0.0
801749200,3,1741276223028127311,0.09990034,-9.764511,0.20638095,0.0,0.0,0.0
801749210,3,1741276223038112155,0.12023934,-9.756136,0.19322042,0.0,0.0,0.0
801749220,3,1741276223048097103,0.09990034,-9.75823,0.20129621,0.0,0.0,0.0
801749230,3,1741276223058082728,0.0951147,-9.761819,0.20309082,0.0,0.0,0.0
801749240,3,1741276223068067571,0.10977074,-9.773185,0.19651055,0.0,0.0,0.0
801749250,3,1741276223078052519,0.109471634,-9.768997,0.20309082,0.0,0.0,0.0
801749260,3,1741276223088038144,0.09900304,-9.763314,0.19740787,0.0,0.0,0.0
801749270,3,1741276223098022988,0.11335997,-9.766904,0.20428723,0.0,0.0,0.0
801749280,3,1741276223108007728,0.11306087,-9.75823,0.2114657,0.0,0.0,0.0
801749290,3,1741276223117991686,0.116650105,-9.754043,0.20817557,0.0,0.0,0.0
801749300,3,1741276223127977936,0.11425728,-9.777372,0.20847467,0.0,0.0,0.0
801749310,3,1741276223137962884,0.1052842,-9.75823,0.2009971,0.0,0.0,0.0
801749320,3,1741276223147948509,0.101694964,-9.763314,0.20309082,0.0,0.0,0.0
801749330,3,1741276223157933353,0.09302098,-9.768699,0.19501504,0.0,0.0,0.0
801749340,3,1741276223167918196,0.1058824,-9.749257,0.19950159,0.0,0.0,0.0
801749350,3,1741276223177903144,0.10737792,-9.767801,0.19980069,0.0,0.0,0.0
801749360,3,1741276223187888769,0.11335997,-9.757333,0.19501504,0.0,0.0,0.0
801749370,3,1741276223197873613,0.11096715,-9.752547,0.19561325,0.0,0.0,0.0
801749380,3,1741276223207858561,0.10737792,-9.755239,0.19710876,0.0,0.0,0.0
801749390,3,1741276223217844082,0.09900304,-9.7681,0.19561325,0.0,0.0,0.0
801749400,3,1741276223227828144,0.11485548,-9.7681,0.20488544,0.0,0.0,0.0
801749410,3,1741276223237813769,0.11096715,-9.768699,0.18783657,0.0,0.0,0.0
801749420,3,1741276223247798717,0.10917253,-9.75823,0.20428723,0.0,0.0,0.0
801749430,3,1741276223257784342,0.11306087,-9.763913,0.19172491,0.0,0.0,0.0
