acc_s001_004 Accelerometer Non-wakeup,STMicro,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2]
801749260,3,1741276223088038144,0.09900304,-9.763314,0.19740787
801749270,3,1741276223098022988,0.11335997,-9.766904,0.20428723
801749280,3,1741276223108007728,0.11306087,-9.75823,0.2114657
801749290,3,1741276223117991686,0.116650105,-9.754043,0.20817557
801749300,3,1741276223127977936,0.11425728,-9.777372,0.20847467
801749310,3,1741276223137962884,0.1052842,-9.75823,0.2009971
801749320,3,1741276223147948509,0.101694964,-9.763314,0.20309082
801749330,3,1741276223157933353,0.09302098,-9.768699,0.19501504
801749340,3,1741276223167918196,0.1058824,-9.749257,0.19950159
801749350,3,1741276223177903144,0.10737792,-9.767801,0.19980069
801749360,3,1741276223187888769,0.11335997,-9.757333,0.19501504
801749370,3,1741276223197873613,0.11096715,-9.752547,0.19561325
801749380,3,1741276223207858561,0.10737792,-9.755239,0.19710876
801749390,3,1741276223217844082,0.09900304,-9.7681,0.19561325
801749400,3,1741276223227828144,0.11485548,-9.7681,0.20488544
801749410,3,1741276223237813769,0.11096715,-9.768699,0.18783657
801749420,3,1741276223247798717,0.10917253,-9.75823,0.20428723
801749430,3,1741276223257784342,0.11306087,-9.763913,0.19172491
801749440,3,1741276223267769186,0.103190474,-9.754341,0.20608185
801749450,3,1741276223277754134,0.117547415,-9.762417,0.19680966
801749460,3,1741276223287739759,0.1052842,-9.750453,0.20668006
801749470,3,1741276223297724603,0.09960124,-9.754043,0.20668006
801749480,3,1741276223307709446,0.11844472,-9.764511,0.19860429
801749490,3,1741276223317694394,0.111864455,-9.758529,0.20398813
801749500,3,1741276223327680019,0.10378868,-9.763314,0.20578274
801749510,3,1741276223337664863,0.10917253,-9.761221,0.20428723
801749520,3,1741276223347649603,0.10229317,-9.762118,0.20279172
801749530,3,1741276223357633717,0.10797612,-9.769596,0.19232312
801749540,3,1741276223367620123,0.10767702,-9.7681,0.20279172
801749550,3,1741276223377604967,0.112761766,-9.75494,0.20458634
801749560,3,1741276223387589915,0.106480606,-9.765707,0.19381863
801749570,3,1741276223397575540,0.11156536,-9.760024,0.1896312
801749580,3,1741276223407560384,0.10199407,-9.760623,0.20338993
801749590,3,1741276223417545228,0.11395818,-9.760324,0.20518455
801749600,3,1741276223427530175,0.111266255,-9.759726,0.20219351
801749610,3,1741276223437515800,0.09960124,-9.757033,0.20548365
801749620,3,1741276223447500644,0.102592275,-9.764212,0.20488544
801749630,3,1741276223457485592,0.10917253,-9.754043,0.20757736
801749640,3,1741276223467471217,0.109471634,-9.766904,0.19770697
801749650,3,1741276223477456061,0.10468599,-9.755239,0.20279172
801749660,3,1741276223487440905,0.09990034,-9.760024,0.20697916
801749670,3,1741276223497425853,0.10378868,-9.760324,0.20697916
801749680,3,1741276223507411478,0.10229317,-9.768699,0.19651055
801749689,3,1741276223517396321,0.118145615,-9.767502,0.19830517
801749699,3,1741276223527381165,0.10827523,-9.766306,0.19980069
801749709,3,1741276223537366113,0.10199407,-9.767801,0.21655045
801749719,3,1741276223547351738,0.09571291,-9.764511,0.2009971
801749729,3,1741276223557336582,0.10827523,-9.759128,0.19531415
801749739,3,1741276223567321530,0.10289137,-9.766006,0.20219351
801749749,3,1741276223577307155,0.09960124,-9.758529,0.21206391
801749759,3,1741276223587291998,0.10378868,-9.763016,0.20638095
801749769,3,1741276223597276842,0.10109676,-9.762118,0.20967108
801749779,3,1741276223607261790,0.110368945,-9.766604,0.200698
801749789,3,1741276223617247415,0.10917253,-9.760324,0.20907287
801749799,3,1741276223627232259,0.10767702,-9.761221,0.20907287
801749809,3,1741276223637217103,0.11246266,-9.763614,0.20817557
801749819,3,1741276223647202050,0.110368945,-9.766306,0.19920248
801749829,3,1741276223657187675,0.11066805,-9.768997,0.20458634
801749839,3,1741276223667172519,0.11216356,-9.7609215,0.19651055
801749849,3,1741276223677157467,0.1061815,-9.755538,0.19621146
801749859,3,1741276223687143092,0.11156536,-9.764811,0.2015953
801749869,3,1741276223697127936,0.10049855,-9.767502,0.20129621
801749879,3,1741276223707112780,0.11425728,-9.753445,0.20279172
801749889,3,1741276223717097728,0.10737792,-9.764811,0.20608185
801749899,3,1741276223727083353,0.111864455,-9.768699,0.20338993
801749909,3,1741276223737068196,0.116351,-9.761819,0.20877378
801749919,3,1741276223747053040,0.10887343,-9.755837,0.19680966
801749929,3,1741276223757037988,0.10917253,-9.760324,0.20757736
801749939,3,1741276223767023613,0.10797612,-9.749556,0.20338993
801749949,3,1741276223777008457,0.09720842,-9.763614,0.20757736
801749959,3,1741276223786993300,0.1061815,-9.774082,0.20129621
801749969,3,1741276223796978248,0.106480606,-9.759426,0.18723837
801749979,3,1741276223806963873,0.109471634,-9.764811,0.18574286
801749989,3,1741276223816948717,0.118145615,-9.753445,0.2117648
