acc_s003_002 QTI-Accelerometer Non-wakeup,TDK-Invensense,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc2_x[m/s^2],acc2_y[m/s^2],acc2_z[m/s^2]
801440203,3,1741275914031634653,-0.11361571,-9.78384,0.009924725
801440213,3,1741275914041747569,-0.10882731,-9.788629,0.03386674
801440224,3,1741275914051886059,-0.0944621,-9.788629,0.03865514
801440234,3,1741275914062050121,-0.0992505,-9.788629,0.043443546
801440244,3,1741275914072238038,-0.10882731,-9.793417,0.01950153
801440254,3,1741275914082438038,-0.1040389,-9.78384,0.009924725
801440264,3,1741275914092638038,-0.1040389,-9.798205,0.024289936
801440274,3,1741275914102838038,-0.10882731,-9.788629,0.03865514
801440285,3,1741275914113038038,-0.10882731,-9.78384,0.03386674
801440295,3,1741275914123238038,-0.10882731,-9.788629,0.024289936
801440305,3,1741275914133438038,-0.10882731,-9.788629,0.01950153
801440315,3,1741275914143638038,-0.1040389,-9.788629,0.01950153
801440325,3,1741275914153838038,-0.10882731,-9.798205,0.0051363185
801440336,3,1741275914164038038,-0.10882731,-9.788629,0.0051363185
801440346,3,1741275914174238038,-0.1040389,-9.788629,0.0051363185
801440356,3,1741275914184438038,-0.0992505,-9.788629,0.024289936
801440366,3,1741275914194638038,-0.10882731,-9.78384,0.029078335
801440376,3,1741275914204838038,-0.1040389,-9.78384,0.024289936
801440387,3,1741275914215038038,-0.11361571,-9.788629,0.01950153
801440397,3,1741275914225238038,-0.0992505,-9.793417,0.03865514
801440407,3,1741275914235438038,-0.1040389,-9.798205,0.03386674
801440417,3,1741275914245638038,-0.10882731,-9.798205,0.01950153
801440427,3,1741275914255838038,-0.11840411,-9.793417,3.479123E-4
801440438,3,1741275914266038038,-0.10882731,-9.788629,0.029078335
801440448,3,1741275914276238038,-0.1040389,-9.779052,0.03386674
801440458,3,1741275914286438038,-0.1040389,-9.788629,0.024289936
801440468,3,1741275914296638038,-0.1040389,-9.793417,0.01950153
801440478,3,1741275914306838038,-0.10882731,-9.798205,0.029078335
801440489,3,1741275914317038038,-0.0992505,-9.793417,0.024289936
801440499,3,1741275914327238038,-0.10882731,-9.788629,0.014713123
801440509,3,1741275914337438038,-0.10882731,-9.788629,0.01950153
801440519,3,1741275914347638038,-0.0944621,-9.788629,0.03386674
801440529,3,1741275914357838038,-0.1040389,-9.793417,0.03865514
801440540,3,1741275914368038038,-0.10882731,-9.779052,0.03386674
801440550,3,1741275914378238038,-0.1040389,-9.788629,0.029078335
801440560,3,1741275914388438038,-0.0992505,-9.788629,0.01950153
801440570,3,1741275914398638038,-0.0992505,-9.788629,0.024289936
801440580,3,1741275914408838038,-0.1040389,-9.788629,0.029078335
801440591,3,1741275914419038038,-0.12319252,-9.779052,0.01950153
801440601,3,1741275914429238038,-0.11361571,-9.779052,0.01950153
801440611,3,1741275914439438038,-0.10882731,-9.78384,0.01950153
801440621,3,1741275914449525538,-0.1040389,-9.802994,0.009924725
801440631,3,1741275914459501163,-0.1040389,-9.793417,0.014713123
801440641,3,1741275914469306580,-0.11361571,-9.779052,0.014713123
801440651,3,1741275914479111996,-0.10882731,-9.788629,0.03865514
801440661,3,1741275914488917413,-0.11361571,-9.793417,0.029078335
801440670,3,1741275914498723090,-0.11361571,-9.788629,0.014713123
801440680,3,1741275914508529809,-0.0992505,-9.788629,0.029078335
801440690,3,1741275914518344392,-0.10882731,-9.78384,0.029078335
801440700,3,1741275914528163090,-0.11361571,-9.798205,0.014713123
801440710,3,1741275914537986736,-0.11361571,-9.788629,0.009924725
801440719,3,1741275914547815642,-0.11361571,-9.788629,0.01950153
801440729,3,1741275914557650903,-0.1040389,-9.78384,0.01950153
801440739,3,1741275914567492934,-0.10882731,-9.779052,0.014713123
801440749,3,1741275914577342153,-0.12319252,-9.793417,0.009924725
801440759,3,1741275914587199028,-0.11361571,-9.78384,0.029078335
801440769,3,1741275914597064184,-0.11361571,-9.798205,0.024289936
801440779,3,1741275914606939548,-0.10882731,-9.798205,0.009924725
801440788,3,1741275914616826580,-0.10882731,-9.793417,0.024289936
801440798,3,1741275914626721163,-0.1040389,-9.788629,0.014713123
801440808,3,1741275914636625225,-0.10882731,-9.78384,0.01950153
801440818,3,1741275914646539861,-0.1040389,-9.78384,3.479123E-4
801440828,3,1741275914656464028,-0.11361571,-9.779052,3.479123E-4
801440838,3,1741275914666396163,-0.10882731,-9.788629,0.024289936
801440848,3,1741275914676336580,-0.10882731,-9.78384,0.014713123
801440858,3,1741275914686285955,-0.10882731,-9.793417,0.009924725
801440868,3,1741275914696244028,-0.0992505,-9.798205,0.014713123
