mag_s004_001 Magnetometer-Uncalibrated Non-wakeup,QST,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
801441439,3,3.5625,8.6,151.8625,-27.0,-69.0,177.0
801441449,3,3.5875,8.6,151.825,-27.0,-69.0,177.0
801441458,3,3.625,8.6125,151.75,-27.0,-69.0,177.0
801441468,3,3.675,8.6125,151.6625,-27.0,-69.0,177.0
801441477,3,3.7250001,8.6,151.6,-27.0,-69.0,177.0
801441487,3,3.7375,8.5625,151.5625,-27.0,-69.0,177.0
801441496,3,3.7625,8.5375,151.52501,-27.0,-69.0,177.0
801441506,3,3.7625,8.5125,151.5125,-27.0,-69.0,177.0
801441515,3,3.75,8.4875,151.5625,-27.0,-69.0,177.0
801441525,3,3.7375,8.4875,151.575,-27.0,-69.0,177.0
801441534,3,3.7250001,8.475,151.6,-27.0,-69.0,177.0
801441544,3,3.7250001,8.4875,151.625,-27.0,-69.0,177.0
801441553,3,3.7,8.475,151.6,-27.0,-69.0,177.0
801441563,3,3.7,8.4875,151.5625,-27.0,-69.0,177.0
801441572,3,3.6875,8.475,151.5125,-27.0,-69.0,177.0
801441582,3,3.675,8.462501,151.4875,-27.0,-69.0,177.0
801441591,3,3.6375,8.4875,151.52501,-27.0,-69.0,177.0
801441601,3,3.6125,8.5,151.55,-27.0,-69.0,177.0
801441610,3,3.575,8.5125,151.58751,-27.0,-69.0,177.0
801441620,3,3.5375001,8.5125,151.625,-27.0,-69.0,177.0
801441629,3,3.5375001,8.5375,151.675,-27.0,-69.0,177.0
801441639,3,3.525,8.5625,151.75,-27.0,-69.0,177.0
801441648,3,3.5375001,8.6,151.8125,-27.0,-69.0,177.0
801441658,3,3.5625,8.650001,151.90001,-27.0,-69.0,177.0
801441667,3,3.5875,8.6875,151.95,-27.0,-69.0,177.0
801441677,3,3.6125,8.725,152.0375,-27.0,-69.0,177.0
801441686,3,3.6375,8.75,152.075,-27.0,-69.0,177.0
801441696,3,3.65,8.8,152.125,-27.0,-69.0,177.0
801441705,3,3.6625001,8.7875,152.1625,-27.0,-69.0,177.0
801441715,3,3.6875,8.775001,152.1375,-27.0,-69.0,177.0
801441724,3,3.7,8.7625,152.08751,-27.0,-69.0,177.0
801441734,3,3.675,8.7375,151.975,-27.0,-69.0,177.0
801441743,3,3.6625001,8.712501,151.875,-27.0,-69.0,177.0
801441753,3,3.65,8.6875,151.7875,-27.0,-69.0,177.0
801441762,3,3.65,8.675,151.725,-27.0,-69.0,177.0
801441772,3,3.65,8.650001,151.7,-27.0,-69.0,177.0
801441781,3,3.6375,8.6375,151.675,-27.0,-69.0,177.0
801441791,3,3.6125,8.6125,151.725,-27.0,-69.0,177.0
801441800,3,3.6000001,8.575,151.77501,-27.0,-69.0,177.0
801441810,3,3.6125,8.55,151.825,-27.0,-69.0,177.0
801441819,3,3.625,8.5375,151.9125,-27.0,-69.0,177.0
801441829,3,3.6375,8.55,151.975,-27.0,-69.0,177.0
801441838,3,3.6125,8.55,152.02501,-27.0,-69.0,177.0
801441848,3,3.5875,8.55,152.02501,-27.0,-69.0,177.0
801441857,3,3.5625,8.5625,152.0125,-27.0,-69.0,177.0
801441867,3,3.55,8.575,151.96251,-27.0,-69.0,177.0
801441876,3,3.55,8.6,151.9125,-27.0,-69.0,177.0
801441886,3,3.5125,8.625,151.8875,-27.0,-69.0,177.0
801441895,3,3.4750001,8.6375,151.8625,-27.0,-69.0,177.0
801441905,3,3.425,8.6125,151.85,-27.0,-69.0,177.0
801441914,3,3.4125001,8.587501,151.83751,-27.0,-69.0,177.0
801441924,3,3.4,8.5625,151.825,-27.0,-69.0,177.0
801441933,3,3.4125001,8.5375,151.825,-27.0,-69.0,177.0
801441943,3,3.4375,8.55,151.8,-27.0,-69.0,177.0
801441952,3,3.4375,8.5625,151.83751,-27.0,-69.0,177.0
801441962,3,3.4750001,8.5625,151.8875,-27.0,-69.0,177.0
801441971,3,3.4875,8.55,151.875,-27.0,-69.0,177.0
801441981,3,3.5125,8.55,151.875,-27.0,-69.0,177.0
801441990,3,3.5375001,8.55,151.8875,-27.0,-69.0,177.0
801442000,3,3.5625,8.5625,151.85,-27.0,-69.0,177.0
801442009,3,3.575,8.587501,151.83751,-27.0,-69.0,177.0
801442019,3,3.5625,8.5625,151.825,-27.0,-69.0,177.0
801442028,3,3.575,8.55,151.8,-27.0,-69.0,177.0
801442038,3,3.5625,8.55,151.7625,-27.0,-69.0,177.0
801442047,3,3.5625,8.5625,151.77501,-27.0,-69.0,177.0
801442057,3,3.575,8.575,151.8,-27.0,-69.0,177.0
