gravity  Non-wakeup,QTI,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
801441588,3,0.10721501,-9.804617,0.16845617
801441598,3,0.10720133,-9.804619,0.16836835
801441608,3,0.10725102,-9.80462,0.16825056
801441618,3,0.107240975,-9.80462,0.16824844
801441628,3,0.10723657,-9.804623,0.16812865
801441638,3,0.10724047,-9.804626,0.16786683
801441648,3,0.107241064,-9.804626,0.16787507
801441658,3,0.10733448,-9.80463,0.16763781
801441668,3,0.107334316,-9.80463,0.16755827
801441678,3,0.10724791,-9.804633,0.1675025
801441688,3,0.10706951,-9.804638,0.16728516
801441698,3,0.107064396,-9.804641,0.16714627
801441708,3,0.10702022,-9.804642,0.16707945
801441718,3,0.10695778,-9.804645,0.16699986
801441728,3,0.10705241,-9.804647,0.16676863
801441738,3,0.106976524,-9.80465,0.16670044
801441748,3,0.10705863,-9.804649,0.1667137
801441758,3,0.107076906,-9.804655,0.1663812
801441768,3,0.10697805,-9.804655,0.166394
801441778,3,0.10688041,-9.804656,0.16635385
801441788,3,0.10690332,-9.804657,0.16633424
801441798,3,0.10681689,-9.804661,0.16616598
801441808,3,0.10683949,-9.804662,0.16610982
801441817,3,0.106988885,-9.804661,0.16599111
801441827,3,0.106831804,-9.804666,0.16580243
801441837,3,0.106920496,-9.804666,0.16583458
801441847,3,0.10694608,-9.8046665,0.16571401
801441857,3,0.106919624,-9.80467,0.16547567
801441867,3,0.10704873,-9.804667,0.16559203
801441877,3,0.10714884,-9.804668,0.16543338
801441887,3,0.10711851,-9.804668,0.16543125
801441897,3,0.10718057,-9.804672,0.16529427
801441907,3,0.107048824,-9.804672,0.16525583
801441917,3,0.10703021,-9.804679,0.16499378
801441927,3,0.1071877,-9.804681,0.16470309
801441937,3,0.107190885,-9.804684,0.16451608
801441947,3,0.107020676,-9.80469,0.16425693
801441957,3,0.10696711,-9.804694,0.16404952
801441967,3,0.1069093,-9.804699,0.16380449
801441977,3,0.106846005,-9.804701,0.1637369
801441987,3,0.10701095,-9.804699,0.16382134
801441997,3,0.10699957,-9.8047,0.16372252
801442007,3,0.106990844,-9.804701,0.1636658
801442017,3,0.106975436,-9.804702,0.16358486
801442027,3,0.10686966,-9.804703,0.16354302
801442037,3,0.10712922,-9.8047,0.16356577
801442047,3,0.10714362,-9.804704,0.16337627
801442057,3,0.107149415,-9.804706,0.16329606
801442067,3,0.10719177,-9.804706,0.16325966
801442077,3,0.10745194,-9.8047,0.1633687
801442087,3,0.107367955,-9.804702,0.1633057
801442097,3,0.1073275,-9.804704,0.16328344
801442107,3,0.10716701,-9.804709,0.16300073
801442117,3,0.10711811,-9.804715,0.16272165
801442127,3,0.107174985,-9.804716,0.16265225
801442137,3,0.10753515,-9.804714,0.16250545
801442147,3,0.107494235,-9.804719,0.16217934
801442157,3,0.10762278,-9.80472,0.1620596
801442167,3,0.1078138,-9.80472,0.1619711
801442177,3,0.107824035,-9.804719,0.1620194
801442187,3,0.10782076,-9.804723,0.16182855
801442197,3,0.10766365,-9.804726,0.16170959
801442207,3,0.107697316,-9.804727,0.1616203
801442217,3,0.10782524,-9.804724,0.16167237
801442227,3,0.107865356,-9.804727,0.1615564
801442237,3,0.10786396,-9.804725,0.16166638
801442247,3,0.10796864,-9.804724,0.16165769
801442257,3,0.10783102,-9.804726,0.16165617
801442267,3,0.10786839,-9.804722,0.16175172
801442277,3,0.107798904,-9.804726,0.16161825
801442287,3,0.107659906,-9.80473,0.16141787
801442297,3,0.107551485,-9.804733,0.16132252
801442307,3,0.10752556,-9.804734,0.1613312
801442317,3,0.10750219,-9.804733,0.16138837
801442327,3,0.10737873,-9.804737,0.16112143
801442337,3,0.10732875,-9.804741,0.16105485
801442347,3,0.10720725,-9.804745,0.16087514
801442357,3,0.107020214,-9.804748,0.16082245
801442367,3,0.10701039,-9.804749,0.16076745
801442377,3,0.10695949,-9.804747,0.1609238
801442387,3,0.106964365,-9.804746,0.1609367
801442397,3,0.10695346,-9.804748,0.16089511
801442407,3,0.10710508,-9.804746,0.1608965
801442417,3,0.107011214,-9.804745,0.16097751
801442427,3,0.10716642,-9.804746,0.16085446
801442437,3,0.10714597,-9.8047495,0.16060688
801442447,3,0.10706825,-9.80475,0.16060087
801442457,3,0.107032344,-9.8047495,0.16068467
801442466,3,0.107122496,-9.80475,0.16058323
801442476,3,0.107064,-9.804752,0.16051571
801442486,3,0.10698631,-9.804755,0.16037716
801442496,3,0.10685656,-9.804757,0.16029136
801442506,3,0.106832825,-9.804757,0.16035719
801442516,3,0.10666179,-9.804759,0.160368
801442526,3,0.10672402,-9.804759,0.16032924
801442536,3,0.106887154,-9.804758,0.16023318
801442546,3,0.10717529,-9.804757,0.16011229
801442556,3,0.10735082,-9.804754,0.16021709
801442566,3,0.10732922,-9.804754,0.16017269
801442576,3,0.10732133,-9.804755,0.16015111
801442586,3,0.10731557,-9.804755,0.16019839
801442596,3,0.10737092,-9.804755,0.1600901
801442606,3,0.10744289,-9.804752,0.16022463
801442616,3,0.10744476,-9.804758,0.15989713
801442626,3,0.10741651,-9.804759,0.15981938
801442636,3,0.10740982,-9.804762,0.15962791
801442646,3,0.10711967,-9.804768,0.1595178
801442656,3,0.10703696,-9.80477,0.15938915
801442666,3,0.10696828,-9.804771,0.15937833
801442676,3,0.10713615,-9.804772,0.1592256
801442686,3,0.10710099,-9.804774,0.15914467
801442696,3,0.10710572,-9.804775,0.15906729
801442706,3,0.107184924,-9.804774,0.15909415
801442716,3,0.10710726,-9.80478,0.15878005
801442726,3,0.10702383,-9.804781,0.15875514
801442736,3,0.1068681,-9.804786,0.15857263
801442746,3,0.10685397,-9.804786,0.15858974
801442756,3,0.10677308,-9.804788,0.15847036
801442766,3,0.10662458,-9.804788,0.1585946
801442776,3,0.10680112,-9.804788,0.1584916
801442786,3,0.1069319,-9.804792,0.15813726
801442796,3,0.10684026,-9.8047905,0.15829358
801442806,3,0.10676944,-9.804795,0.15802346
801442816,3,0.10682734,-9.804796,0.15792772
801442826,3,0.10679523,-9.804796,0.15799518
801442836,3,0.10667745,-9.804798,0.15792453
801442846,3,0.10663817,-9.804799,0.15791719
