Rotation Vector  Non-wakeup,QTI,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
801440649,3,-0.30916578,-0.6289192,0.63669366,0.32171163,-1.0
801440659,3,-0.3091661,-0.6289184,0.6366949,0.32171035,-1.0
801440669,3,-0.30916753,-0.62891793,0.63668394,0.32173166,-1.0
801440679,3,-0.30917364,-0.62890774,0.63668436,0.3217448,-1.0
801440689,3,-0.3091783,-0.62889934,0.63668877,0.32174805,-1.0
801440699,3,-0.30917436,-0.6289046,0.63669616,0.32172698,-1.0
801440709,3,-0.309177,-0.6289004,0.6366947,0.3217353,-1.0
801440719,3,-0.3091728,-0.62890613,0.63670206,0.32171375,-1.0
801440729,3,-0.3091748,-0.6289038,0.63669664,0.32172716,-1.0
801440739,3,-0.30917037,-0.6289109,0.63669765,0.32171547,-1.0
801440749,3,-0.30916712,-0.6289156,0.6367013,0.32170212,-1.0
801440759,3,-0.30917192,-0.62890834,0.63669777,0.32171872,-1.0
801440769,3,-0.30916613,-0.6289189,0.6366919,0.32171533,-1.0
801440779,3,-0.3091605,-0.6289274,0.6366965,0.321695,-1.0
801440789,3,-0.30916175,-0.6289249,0.63669896,0.3216938,-1.0
801440799,3,-0.30916554,-0.6289172,0.63670766,0.32168806,-1.0
801440809,3,-0.30916297,-0.62892056,0.6367126,0.32167408,-1.0
801440819,3,-0.30916846,-0.62891084,0.6367166,0.3216799,-1.0
801440829,3,-0.3091676,-0.6289111,0.6367237,0.3216662,-1.0
801440839,3,-0.30916125,-0.6289215,0.636724,0.32165137,-1.0
801440849,3,-0.30916575,-0.6289143,0.63672274,0.32166365,-1.0
801440859,3,-0.30916423,-0.62891614,0.6367266,0.32165387,-1.0
801440869,3,-0.3091605,-0.6289223,0.6367267,0.32164526,-1.0
801440879,3,-0.30915818,-0.62892663,0.6367236,0.32164517,-1.0
801440889,3,-0.3091566,-0.6289298,0.6367202,0.32164717,-1.0
801440899,3,-0.30915368,-0.6289357,0.6367138,0.3216511,-1.0
801440909,3,-0.30915534,-0.62893295,0.63671386,0.3216547,-1.0
801440919,3,-0.3091542,-0.62893414,0.63671774,0.3216458,-1.0
801440929,3,-0.30915517,-0.6289327,0.6367171,0.32164901,-1.0
801440939,3,-0.30915534,-0.6289325,0.63671666,0.32165018,-1.0
801440949,3,-0.30915585,-0.6289319,0.6367153,0.32165354,-1.0
801440959,3,-0.30915514,-0.6289341,0.63670915,0.3216621,-1.0
801440969,3,-0.30915052,-0.6289421,0.63670707,0.32165504,-1.0
801440979,3,-0.30914864,-0.62894607,0.6367015,0.32165998,-1.0
801440989,3,-0.30914685,-0.6289486,0.6367038,0.32165214,-1.0
801440999,3,-0.3091454,-0.6289518,0.6366994,0.32165617,-1.0
801441009,3,-0.30914468,-0.62895375,0.6366948,0.32166207,-1.0
801441019,3,-0.30914506,-0.628954,0.6366895,0.3216717,-1.0
801441029,3,-0.30914757,-0.6289498,0.63668996,0.32167655,-1.0
801441039,3,-0.3091462,-0.628952,0.6366902,0.32167307,-1.0
801441049,3,-0.3091427,-0.6289582,0.63668764,0.32166937,-1.0
801441059,3,-0.30914828,-0.62894917,0.63668704,0.321683,-1.0
801441069,3,-0.30914536,-0.62895393,0.636687,0.32167655,-1.0
801441079,3,-0.30914536,-0.62895435,0.6366844,0.32168072,-1.0
801441089,3,-0.30914402,-0.6289567,0.63668406,0.32167822,-1.0
801441099,3,-0.30913717,-0.6289682,0.6366827,0.32166496,-1.0
801441109,3,-0.3091338,-0.6289736,0.63668346,0.32165617,-1.0
801441119,3,-0.30913723,-0.628969,0.63667715,0.32167432,-1.0
801441129,3,-0.3091323,-0.62897754,0.636675,0.3216667,-1.0
801441139,3,-0.30912706,-0.6289859,0.63667643,0.32165247,-1.0
801441149,3,-0.30912745,-0.6289852,0.6366765,0.32165325,-1.0
801441159,3,-0.30912057,-0.6289963,0.63667804,0.3216351,-1.0
801441168,3,-0.30912054,-0.6289959,0.6366809,0.3216303,-1.0
801441178,3,-0.30911526,-0.62900585,0.63667345,0.32163072,-1.0
801441188,3,-0.30911204,-0.62901187,0.63666934,0.32163015,-1.0
801441198,3,-0.30910414,-0.62902445,0.6366721,0.32160774,-1.0
801441208,3,-0.30909717,-0.62903666,0.6366678,0.32159907,-1.0
801441218,3,-0.30909166,-0.6290451,0.63667136,0.32158065,-1.0
801441228,3,-0.3090898,-0.62904835,0.63667053,0.32157785,-1.0
801441238,3,-0.30908775,-0.6290513,0.636673,0.3215692,-1.0
