acc_s001_004 Accelerometer-Uncalibrated Non-wakeup,STMicro,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2]
801439845,3,1741275913673112830,0.09750752,-9.757631,0.18783657,0.0,0.0,0.0
801439855,3,1741275913683097673,0.10767702,-9.762417,0.17288144,0.0,0.0,0.0
801439865,3,1741275913693082100,0.106480606,-9.765109,0.1698904,0.0,0.0,0.0
801439875,3,1741275913703066475,0.09571291,-9.757033,0.17377874,0.0,0.0,0.0
801439885,3,1741275913713050903,0.10887343,-9.770792,0.1689931,0.0,0.0,0.0
801439895,3,1741275913723035590,0.10887343,-9.76152,0.17527425,0.0,0.0,0.0
801439905,3,1741275913733020903,0.109471634,-9.763314,0.1689931,0.0,0.0,0.0
801439915,3,1741275913743005330,0.10348958,-9.763314,0.16510476,0.0,0.0,0.0
801439925,3,1741275913752989705,0.10737792,-9.757631,0.17347965,0.0,0.0,0.0
801439935,3,1741275913762974548,0.10468599,-9.75494,0.17318054,0.0,0.0,0.0
801439945,3,1741275913772959392,0.11006984,-9.765707,0.17916259,0.0,0.0,0.0
801439955,3,1741275913782944236,0.109471634,-9.752846,0.18155542,0.0,0.0,0.0
801439965,3,1741275913792928663,0.10378868,-9.752547,0.16660027,0.0,0.0,0.0
801439975,3,1741275913802913038,0.10378868,-9.762716,0.18065812,0.0,0.0,0.0
801439985,3,1741275913812897882,0.111266255,-9.765707,0.16869399,0.0,0.0,0.0
801439995,3,1741275913822882725,0.10977074,-9.767502,0.17587246,0.0,0.0,0.0
801440005,3,1741275913832867153,0.111864455,-9.7654085,0.1794617,0.0,0.0,0.0
801440014,3,1741275913842851528,0.11335997,-9.777073,0.18424734,0.0,0.0,0.0
801440024,3,1741275913852836371,0.10378868,-9.759128,0.17078772,0.0,0.0,0.0
801440034,3,1741275913862821215,0.09750752,-9.75494,0.17856438,0.0,0.0,0.0
801440044,3,1741275913872806059,0.11395818,-9.757931,0.17048861,0.0,0.0,0.0
801440054,3,1741275913882790486,0.10109676,-9.761221,0.18514465,0.0,0.0,0.0
801440064,3,1741275913892774861,0.11545369,-9.760623,0.18634106,0.0,0.0,0.0
801440074,3,1741275913902759705,0.1055833,-9.766604,0.18185452,0.0,0.0,0.0
801440084,3,1741275913912744132,0.10827523,-9.7609215,0.17706887,0.0,0.0,0.0
801440094,3,1741275913922728819,0.11425728,-9.772287,0.17048861,0.0,0.0,0.0
801440104,3,1741275913932713715,0.11455639,-9.768997,0.17736799,0.0,0.0,0.0
801440114,3,1741275913942698090,0.1061815,-9.771989,0.1797608,0.0,0.0,0.0
801440124,3,1741275913952682934,0.10797612,-9.7609215,0.17347965,0.0,0.0,0.0
801440134,3,1741275913962667778,0.09361918,-9.760623,0.18125631,0.0,0.0,0.0
801440144,3,1741275913972652621,0.1052842,-9.775877,0.17796618,0.0,0.0,0.0
801440154,3,1741275913982637048,0.116650105,-9.766006,0.18364914,0.0,0.0,0.0
801440164,3,1741275913992621423,0.10707881,-9.765707,0.180359,0.0,0.0,0.0
801440174,3,1741275914002606267,0.109471634,-9.756435,0.18364914,0.0,0.0,0.0
801440184,3,1741275914012591111,0.10289137,-9.763614,0.18484555,0.0,0.0,0.0
801440194,3,1741275914022575538,0.116351,-9.76152,0.17138593,0.0,0.0,0.0
801440204,3,1741275914032559913,0.11545369,-9.75165,0.18125631,0.0,0.0,0.0
801440214,3,1741275914042544757,0.11216356,-9.770194,0.17617157,0.0,0.0,0.0
801440224,3,1741275914052529600,0.100199446,-9.769895,0.18245272,0.0,0.0,0.0
801440234,3,1741275914062514444,0.104985096,-9.763016,0.17706887,0.0,0.0,0.0
801440244,3,1741275914072498871,0.12173485,-9.759426,0.18245272,0.0,0.0,0.0
801440254,3,1741275914082483246,0.111864455,-9.771689,0.1788635,0.0,0.0,0.0
801440264,3,1741275914092468090,0.11694921,-9.7681,0.17377874,0.0,0.0,0.0
801440274,3,1741275914102452934,0.10289137,-9.760623,0.17108682,0.0,0.0,0.0
801440284,3,1741275914112437361,0.1160519,-9.765707,0.17198412,0.0,0.0,0.0
801440294,3,1741275914122421684,0.09960124,-9.766904,0.17018951,0.0,0.0,0.0
801440304,3,1741275914132406528,0.10887343,-9.759726,0.17826529,0.0,0.0,0.0
801440314,3,1741275914142391371,0.11425728,-9.769596,0.17407785,0.0,0.0,0.0
801440324,3,1741275914152376215,0.11066805,-9.765109,0.18005991,0.0,0.0,0.0
801440334,3,1741275914162360642,0.11395818,-9.766006,0.17676978,0.0,0.0,0.0
801440344,3,1741275914172345017,0.111864455,-9.754641,0.18783657,0.0,0.0,0.0
801440354,3,1741275914182329861,0.111266255,-9.773484,0.17347965,0.0,0.0,0.0
801440364,3,1741275914192314705,0.106480606,-9.763913,0.18753748,0.0,0.0,0.0
801440374,3,1741275914202299548,0.111864455,-9.754641,0.18275183,0.0,0.0,0.0
801440384,3,1741275914212283975,0.10049855,-9.752846,0.17108682,0.0,0.0,0.0
801440394,3,1741275914222268350,0.106480606,-9.7681,0.18335004,0.0,0.0,0.0
801440404,3,1741275914232253194,0.09571291,-9.766904,0.17377874,0.0,0.0,0.0
801440414,3,1741275914242238038,0.10199407,-9.760024,0.16271193,0.0,0.0,0.0
801440424,3,1741275914252222465,0.092422776,-9.769895,0.17407785,0.0,0.0,0.0
801440434,3,1741275914262206840,0.10977074,-9.761221,0.16869399,0.0,0.0,0.0
801440444,3,1741275914272191684,0.10737792,-9.759426,0.17826529,0.0,0.0,0.0
