gyro_s001_004 Gyroscope-Uncalibrated Non-wakeup,STMicro,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s]
801439852,3,1741275913680638298,0.0050396346,-0.0019853106,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801439862,3,1741275913690622934,0.004734202,-0.0024434591,6.108648E-4,0.0053031044,-0.0022775796,0.0014542363
801439872,3,1741275913700607100,0.0042760535,-0.0019853106,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801439882,3,1741275913710591736,0.0056504994,-0.0018325944,7.6358096E-4,0.0053031044,-0.0022775796,0.0014542363
801439892,3,1741275913720576007,0.0058032153,-0.0027488915,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801439902,3,1741275913730561528,0.0050396346,-0.0018325944,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801439912,3,1741275913740546163,0.005345067,-0.0021380268,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801439922,3,1741275913750530330,0.0048869182,-0.0016798781,-1.527162E-4,0.0053031044,-0.0022775796,0.0014542363
801439932,3,1741275913760515173,0.005345067,-0.0013744457,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801439942,3,1741275913770500017,0.005497783,-0.0025961753,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801439952,3,1741275913780484861,0.005345067,-0.0019853106,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801439962,3,1741275913790469496,0.0050396346,-0.0015271619,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801439972,3,1741275913800453663,0.0050396346,-0.0018325944,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801439982,3,1741275913810438507,0.0058032153,-0.0025961753,0.0019853106,0.0053031044,-0.0022775796,0.0014542363
801439992,3,1741275913820423350,0.0061086477,-0.0016798781,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801440002,3,1741275913830407986,0.0050396346,-0.0019853106,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801440012,3,1741275913840392153,0.004581486,-0.002290743,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801440022,3,1741275913850376996,0.0050396346,-0.0024434591,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801440032,3,1741275913860361840,0.0050396346,-0.0021380268,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801440042,3,1741275913870346684,0.004734202,-0.0027488915,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801440052,3,1741275913880331319,0.0048869182,-0.002290743,6.108648E-4,0.0053031044,-0.0022775796,0.0014542363
801440062,3,1741275913890315486,0.0050396346,-0.0025961753,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801440072,3,1741275913900300330,0.0058032153,-0.0018325944,0.0016798781,0.0053031044,-0.0022775796,0.0014542363
801440082,3,1741275913910284965,0.0050396346,-0.0027488915,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801440092,3,1741275913920269236,0.004734202,-0.0016798781,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801440102,3,1741275913930254548,0.005497783,-0.0021380268,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801440112,3,1741275913940238715,0.0048869182,-0.0019853106,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801440122,3,1741275913950223559,0.004123337,-0.0024434591,0.0019853106,0.0053031044,-0.0022775796,0.0014542363
801440132,3,1741275913960208403,0.0048869182,-0.0018325944,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801440142,3,1741275913970193246,0.0051923506,-0.0010690134,6.108648E-4,0.0053031044,-0.0022775796,0.0014542363
801440152,3,1741275913980177882,0.005497783,-0.0015271619,0.0024434591,0.0053031044,-0.0022775796,0.0014542363
801440162,3,1741275913990162048,0.0048869182,-0.0013744457,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801440172,3,1741275914000146892,0.004734202,-0.0016798781,0.0016798781,0.0053031044,-0.0022775796,0.0014542363
801440182,3,1741275914010131736,0.004734202,-9.162972E-4,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801440192,3,1741275914020116371,0.0050396346,-0.0019853106,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801440202,3,1741275914030100538,0.0051923506,-0.0015271619,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801440212,3,1741275914040085382,0.0050396346,-0.0027488915,0.0019853106,0.0053031044,-0.0022775796,0.0014542363
801440222,3,1741275914050070225,0.0048869182,-0.0029016077,7.6358096E-4,0.0053031044,-0.0022775796,0.0014542363
801440232,3,1741275914060055069,0.0056504994,-0.0021380268,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801440242,3,1741275914070039705,0.0051923506,-0.0025961753,0.0016798781,0.0053031044,-0.0022775796,0.0014542363
801440252,3,1741275914080023871,0.0044287695,-0.0027488915,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801440262,3,1741275914090008715,0.0058032153,-0.0013744457,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801440272,3,1741275914099993559,0.0056504994,-0.0027488915,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801440282,3,1741275914109978194,0.0050396346,-0.0010690134,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801440292,3,1741275914119962309,0.006261364,-0.0016798781,9.162972E-4,0.0053031044,-0.0022775796,0.0014542363
801440302,3,1741275914129947153,0.0044287695,-0.0018325944,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801440312,3,1741275914139931996,0.0059559317,-0.0025961753,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801440322,3,1741275914149916840,0.004734202,-0.0021380268,6.108648E-4,0.0053031044,-0.0022775796,0.0014542363
