baro_s002_001 Pressure Sensor Non-wakeup,Goertek,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),pressure[millibar]
801451372,3,977.2374
801451403,3,977.239
801451434,3,977.2321
801451465,3,977.215
801451497,3,977.207
801451528,3,977.21765
801451559,3,977.21295
801451590,3,977.1984
801451622,3,977.198
801451653,3,977.207
801451685,3,977.2107
801451715,3,977.20917
801451747,3,977.2027
801451778,3,977.1927
801451809,3,977.2067
801451840,3,977.2029
801451872,3,977.2002
801451903,3,977.1896
801451934,3,977.17035
801451965,3,977.1896
801451997,3,977.19543
801452028,3,977.1896
801452059,3,977.2013
801452090,3,977.1788
801452122,3,977.16284
801452153,3,977.1896
801452184,3,977.1991
801452215,3,977.17664
801452247,3,977.1842
801452278,3,977.1991
801452309,3,977.1927
801452340,3,977.18317
801452372,3,977.1751
801452403,3,977.173
801452434,3,977.173
801452465,3,977.1879
801452497,3,977.1842
801452528,3,977.173
801452559,3,977.19543
801452590,3,977.17725
801452622,3,977.1838
801452653,3,977.1842
801452684,3,977.18207
801452715,3,977.2013
801452747,3,977.22095
801452778,3,977.20764
801452809,3,977.18524
801452840,3,977.1907
801452872,3,977.1938
801452903,3,977.204
801452934,3,977.18805
801452965,3,977.1751
801452997,3,977.16547
801453028,3,977.1682
801453059,3,977.17566
801453090,3,977.1788
801453122,3,977.18207
801453153,3,977.1816
801453184,3,977.17566
801453215,3,977.17993
801453247,3,977.16876
801453278,3,977.16986
801453309,3,977.18805
801453340,3,977.1938
801453372,3,977.17566
801453403,3,977.1869
801453434,3,977.17615
801453465,3,977.18805
801453497,3,977.1922
801453528,3,977.19696
801453559,3,977.19434
801453590,3,977.18805
801453622,3,977.1816
801453653,3,977.1911
801453684,3,977.1885
801453715,3,977.20874
801453747,3,977.221
801453778,3,977.212
801453809,3,977.2108
801453840,3,977.205
801453872,3,977.2193
801453903,3,977.2135
801453934,3,977.212
801453965,3,977.2397
801453997,3,977.2689
801454028,3,977.2637
801454059,3,977.29144
801454090,3,977.29675
801454122,3,977.2739
801454153,3,977.2775
801454184,3,977.28235
801454215,3,977.2818
801454247,3,977.2193
801454278,3,977.2193
801454309,3,977.2407
801454340,3,977.22095
801454372,3,977.23157
801454403,3,977.2199
801454434,3,977.2407
801454465,3,977.2407
801454497,3,977.30426
801454528,3,977.35114
801454559,3,977.2866
801454590,3,977.2642
801454622,3,977.24927
801454653,3,977.22095
801454684,3,977.19434
801454715,3,977.19855
801454747,3,977.173
801454778,3,977.1425
801454809,3,977.1677
801454840,3,977.2142
801454872,3,977.2287
801454903,3,977.20135
801454934,3,977.24036
801454965,3,977.32776
801454997,3,977.3122
801455028,3,977.2809
801455059,3,977.30164
801455090,3,977.37317
801455122,3,977.43823
801455153,3,977.44885
801455184,3,977.36884
801455215,3,977.26056
801455247,3,977.2147
801455278,3,977.14856
801455309,3,977.1437
801455340,3,977.1902
801455372,3,977.20135
801455403,3,977.20026
801455434,3,977.22534
801455465,3,977.2707
801455497,3,977.251
801455528,3,977.2136
801455559,3,977.27014
801455590,3,977.4329
801455622,3,977.3721
801455653,3,977.2728
801455684,3,977.20935
801455715,3,977.0754
801455747,3,977.07324
801455778,3,977.108
801455809,3,977.108
801455840,3,977.10504
801455872,3,977.10767
801455903,3,977.1355
801455934,3,977.1637
801455965,3,977.24115
801455997,3,977.2128
801456028,3,977.19525
801456059,3,977.2385
801456090,3,977.27203
801456122,3,977.2438
801456153,3,977.2427
801456184,3,977.303
801456215,3,977.2955
801456247,3,977.25757
801456278,3,977.2038
801456309,3,977.19305
801456340,3,977.15955
801456372,3,977.1701
801456403,3,977.20483
801456434,3,977.2016
801456465,3,977.2656
801456497,3,977.2438
801456528,3,977.2603
801456559,3,977.28906
801456590,3,977.1909
801456622,3,977.2101
801456653,3,977.2934
801456684,3,977.27893
801456715,3,977.2453
801456747,3,977.19354
801456778,3,977.17926
801456809,3,977.2438
801456840,3,977.21704
801456872,3,977.1519
801456903,3,977.2026
801456934,3,977.2703
801456965,3,977.1802
801456997,3,977.1392
801457028,3,977.15936
801457059,3,977.13806
801457090,3,977.18713
801457122,3,977.20856
801457153,3,977.1802
801457184,3,977.1466
801457216,3,977.1295
801457247,3,977.1295
801457278,3,977.14923
801457309,3,977.1626
801457340,3,977.2464
801457372,3,977.2048
801457403,3,977.16846
801457434,3,977.16956
801457466,3,977.11835
801457497,3,977.1359
801457528,3,977.13696
801457559,3,977.1567
801457590,3,977.1429
801457622,3,977.0858
801457653,3,977.11566
801457684,3,977.1189
801457715,3,977.11566
801457747,3,977.1386
801457778,3,977.1589
801457809,3,977.1322
801457840,3,977.1151
801457872,3,977.2053
801457903,3,977.2016
801457934,3,977.14667
801457965,3,977.17175
801457997,3,977.1766
801458028,3,977.151
801458059,3,977.1584
801458090,3,977.20105
801458122,3,977.2064
801458153,3,977.1909
801458184,3,977.21985
801458215,3,977.1734
801458247,3,977.12854
801458278,3,977.1568
801458309,3,977.2064
801458340,3,977.19305
801458372,3,977.16266
801458403,3,977.184
801458434,3,977.231
801458465,3,977.20325
801458497,3,977.2215
801458528,3,977.2096
801458559,3,977.17285
801458590,3,977.2086
801458622,3,977.1984
801458653,3,977.17224
801458684,3,977.161
801458715,3,977.207
801458747,3,977.151
801458778,3,977.1515
801458809,3,977.15405
801458840,3,977.1392
801458872,3,977.16425
801458903,3,977.1659
801458934,3,977.1872
801458965,3,977.1707
801458997,3,977.184
801459028,3,977.2283
801459059,3,977.1931
801459090,3,977.1883
801459122,3,977.2213
801459153,3,977.2246
801459184,3,977.17926
801459215,3,977.18134
801459247,3,977.192
801459278,3,977.2096
801459309,3,977.1851
801459340,3,977.1851
801459372,3,977.1931
801459403,3,977.20056
801459434,3,977.2075
801459465,3,977.2091
801459497,3,977.2246
801459528,3,977.1909
801459559,3,977.16003
801459590,3,977.2128
801459622,3,977.192
801459653,3,977.1979
801459684,3,977.2246
801459715,3,977.215
801459747,3,977.21924
801459778,3,977.2022
801459809,3,977.21985
801459840,3,977.18195
801459872,3,977.167
801459903,3,977.19354
801459934,3,977.2277
801459965,3,977.18713
801459997,3,977.184
801460028,3,977.22186
801460059,3,977.2
801460090,3,977.17004
801460122,3,977.2069
801460153,3,977.2277
801460184,3,977.1706
801460215,3,977.1813
801460247,3,977.1749
801460278,3,977.1766
801460309,3,977.145
801460340,3,977.16895
801460372,3,977.2058
801460403,3,977.16895
801460434,3,977.1626
801460465,3,977.18555
801460497,3,977.1599
801460528,3,977.144
801460559,3,977.16315
801460590,3,977.14764
801460622,3,977.1429
801460653,3,977.16797
801460684,3,977.1744
801460715,3,977.19727
801460747,3,977.1818
801460778,3,977.18774
801460809,3,977.2042
801460840,3,977.14764
801460872,3,977.14136
801460903,3,977.18726
801460934,3,977.1537
801460965,3,977.1537
801460997,3,977.18353
801461028,3,977.16907
801461059,3,977.1878
801461090,3,977.1863
801461122,3,977.176
801461153,3,977.14667
801461184,3,977.12
801461215,3,977.0896
801461247,3,977.1174
801461278,3,977.13074
801461309,3,977.111
801461340,3,977.151
801461372,3,977.199
801461403,3,977.1969
801461434,3,977.1995
801461466,3,977.2156
801461497,3,977.20593
801461528,3,977.1718
801461559,3,977.1424
801461590,3,977.1515
801461622,3,977.1377
801461653,3,977.0747
801461684,3,977.0672
801461715,3,977.1564
801461747,3,977.167
801461778,3,977.1553
801461809,3,977.2053
801461840,3,977.14886
801461872,3,977.12805
801461903,3,977.13446
801461934,3,977.1682
801461965,3,977.1545
801461997,3,977.172
801462028,3,977.1539
801462059,3,977.1512
801462090,3,977.1132
801462122,3,977.1225
801462153,3,977.2072
801462184,3,977.16455
801462215,3,977.1625
801462247,3,977.18207
801462278,3,977.15173
801462309,3,977.1545
801462340,3,977.14746
801462372,3,977.1853
801462403,3,977.2003
801462434,3,977.18805
801462465,3,977.20197
801462497,3,977.18805
801462528,3,977.19495
801462559,3,977.16565
801462590,3,977.13043
801462622,3,977.1704
801462653,3,977.1522
801462684,3,977.1367
801462715,3,977.08875
801462747,3,977.0776
801462778,3,977.12085
801462809,3,977.0797
801462840,3,977.0434
801462872,3,977.0861
801462903,3,977.0546
801462934,3,977.0588
801462965,3,977.09766
801462997,3,977.094
801463028,3,977.09875
801463059,3,977.1094
801463090,3,977.1201
801463122,3,977.0812
801463153,3,977.1649
801463184,3,977.1815
801463215,3,977.1403
801463247,3,977.14624
801463278,3,977.1638
801463309,3,977.1558
801463340,3,977.14465
801463372,3,977.1457
801463403,3,977.1574
801463434,3,977.1735
801463465,3,977.1574
801463497,3,977.14087
801463528,3,977.1403
801463559,3,977.1713
801463590,3,977.1761
801463622,3,977.14307
801463653,3,977.14087
801463684,3,977.14624
801463715,3,977.12225
801463747,3,977.09766
801463778,3,977.09454
801463809,3,977.0731
801463840,3,977.1041
801463872,3,977.0412
801463903,3,977.04004
801463934,3,977.1083
801463965,3,977.07733
801463997,3,977.0603
801464028,3,977.12164
801464059,3,977.1361
801464090,3,977.1046
801464122,3,977.14136
